device_id,label,population,attack_subtype,scenario_tag,request_index,first_request_time,review_or_higher,blocked,first_action,first_review_or_higher_request,first_block_request,requests_scored_through_first_action,authorizations_processed_before_first_action,distinct_cards_requested_through_first_action,distinct_cards_processed_before_first_action,seconds_to_first_review,seconds_to_first_block,potentially_preventable_later_requests_upper_bound,fold
dev_0000088,0,normal,,normal_standard,1,2026-01-08 04:50:14+00:00,False,False,never,,,1,1,,,,,0,3
dev_0000090,0,normal,,normal_standard,2,2026-01-06 05:53:35+00:00,False,False,never,,,2,2,,,,,0,0
dev_0000091,0,normal,,normal_standard,1,2026-01-13 14:10:20+00:00,False,False,never,,,1,1,,,,,0,1
dev_0000092,0,normal,,normal_standard,2,2026-01-21 06:31:43+00:00,False,False,never,,,2,2,,,,,0,0
dev_0000093,0,normal,,normal_standard,2,2026-01-16 04:06:58+00:00,False,False,never,,,2,2,,,,,0,1
dev_0000094,0,normal,,normal_standard,1,2026-01-29 04:29:05+00:00,False,False,never,,,1,1,,,,,0,3
dev_0000095,0,normal,,normal_standard,3,2026-01-15 02:55:52+00:00,False,False,never,,,3,3,,,,,0,1
dev_0000096,0,normal,,normal_standard,1,2026-01-07 21:43:14+00:00,False,False,never,,,1,1,,,,,0,4
dev_0000097,0,normal,,normal_standard,1,2026-01-29 21:41:21+00:00,False,False,never,,,1,1,,,,,0,2
dev_0000100,0,normal,,normal_standard,1,2026-01-28 07:30:09+00:00,False,False,never,,,1,1,,,,,0,2
dev_0000102,0,normal,,normal_standard,1,2026-01-16 07:39:47+00:00,False,False,never,,,1,1,,,,,0,1
dev_0000103,0,normal,,normal_standard,1,2026-01-22 14:30:47+00:00,False,False,never,,,1,1,,,,,0,0
dev_0000104,0,normal,,normal_standard,1,2026-01-22 22:16:34+00:00,False,False,never,,,1,1,,,,,0,2
dev_0000105,0,normal,,normal_standard,1,2026-01-16 11:46:45+00:00,False,False,never,,,1,1,,,,,0,0
dev_0000107,0,normal,,normal_standard,1,2026-01-06 04:29:48+00:00,False,False,never,,,1,1,,,,,0,0
dev_0000108,0,normal,,normal_standard,1,2026-01-01 15:02:27+00:00,False,False,never,,,1,1,,,,,0,0
dev_0000109,0,normal,,normal_standard,1,2026-01-01 06:16:47+00:00,False,False,never,,,1,1,,,,,0,2
dev_0000111,0,normal,,normal_standard,1,2026-01-08 16:54:39+00:00,False,False,never,,,1,1,,,,,0,0
dev_0000112,0,normal,,normal_standard,2,2026-01-29 11:00:13+00:00,False,False,never,,,2,2,,,,,0,1
dev_0000113,0,normal,,normal_standard,1,2026-01-07 20:48:18+00:00,False,False,never,,,1,1,,,,,0,2
dev_0000115,0,normal,,normal_standard,1,2026-01-09 04:24:14+00:00,False,False,never,,,1,1,,,,,0,4
dev_0000116,0,normal,,normal_standard,1,2026-01-20 21:50:33+00:00,False,False,never,,,1,1,,,,,0,1
dev_0000117,0,normal,,normal_standard,1,2026-01-22 05:25:54+00:00,False,False,never,,,1,1,,,,,0,4
dev_0000118,0,normal,,normal_standard,1,2026-01-23 11:57:00+00:00,False,False,never,,,1,1,,,,,0,3
dev_0000119,0,normal,,normal_standard,1,2026-01-30 17:46:14+00:00,False,False,never,,,1,1,,,,,0,3
dev_0000121,0,normal,,normal_standard,1,2026-01-21 08:31:39+00:00,False,False,never,,,1,1,,,,,0,1
dev_0000122,0,normal,,normal_standard,1,2026-01-19 15:38:23+00:00,False,False,never,,,1,1,,,,,0,4
dev_0000123,0,normal,,normal_standard,2,2026-01-08 01:48:41+00:00,False,False,never,,,2,2,,,,,0,4
dev_0000124,0,normal,,normal_standard,1,2026-01-03 17:50:17+00:00,False,False,never,,,1,1,,,,,0,3
dev_0000126,0,normal,,normal_standard,1,2026-01-17 22:20:11+00:00,False,False,never,,,1,1,,,,,0,1
dev_0000127,0,normal,,normal_standard,1,2026-01-25 05:47:52+00:00,False,False,never,,,1,1,,,,,0,4
dev_0000128,0,normal,,normal_standard,2,2026-01-17 12:37:31+00:00,False,False,never,,,2,2,,,,,0,3
dev_0000129,0,normal,,normal_standard,1,2026-01-21 22:48:37+00:00,False,False,never,,,1,1,,,,,0,2
dev_0000130,0,normal,,normal_standard,1,2026-01-02 02:52:56+00:00,False,False,never,,,1,1,,,,,0,3
dev_0000132,0,normal,,normal_standard,1,2026-01-20 02:25:46+00:00,False,False,never,,,1,1,,,,,0,3
dev_0000133,0,normal,,normal_standard,2,2026-01-09 05:30:17+00:00,False,False,never,,,2,2,,,,,0,1
dev_0000134,0,normal,,normal_standard,1,2026-01-23 03:25:11+00:00,False,False,never,,,1,1,,,,,0,2
dev_0000135,0,normal,,normal_standard,1,2026-01-09 15:40:32+00:00,False,False,never,,,1,1,,,,,0,2
dev_0000140,0,normal,,normal_standard,2,2026-01-19 04:28:18+00:00,False,False,never,,,2,2,,,,,0,3
dev_0000141,0,normal,,normal_standard,1,2026-01-16 22:55:23+00:00,False,False,never,,,1,1,,,,,0,2
dev_0000142,0,normal,,normal_standard,1,2026-01-20 18:01:46+00:00,False,False,never,,,1,1,,,,,0,0
dev_0000143,0,normal,,normal_standard,1,2026-01-17 14:01:58+00:00,False,False,never,,,1,1,,,,,0,2
dev_0000144,0,normal,,normal_standard,1,2026-01-25 23:04:45+00:00,False,False,never,,,1,1,,,,,0,4
dev_0000145,0,normal,,normal_standard,1,2026-01-03 01:39:58+00:00,False,False,never,,,1,1,,,,,0,4
dev_0000146,0,normal,,normal_standard,1,2026-01-12 00:13:20+00:00,False,False,never,,,1,1,,,,,0,2
dev_0000147,0,normal,,normal_standard,1,2026-01-30 17:02:16+00:00,False,False,never,,,1,1,,,,,0,1
dev_0000148,0,normal,,normal_standard,2,2026-01-05 03:37:03+00:00,False,False,never,,,2,2,,,,,0,4
dev_0000149,0,normal,,normal_standard,1,2026-01-16 06:23:52+00:00,False,False,never,,,1,1,,,,,0,1
dev_0000150,0,normal,,normal_standard,2,2026-01-06 07:09:32+00:00,False,False,never,,,2,2,,,,,0,0
dev_0000151,0,normal,,normal_standard,2,2026-01-24 14:44:31+00:00,False,False,never,,,2,2,,,,,0,2
dev_0000153,0,normal,,normal_standard,1,2026-01-01 22:38:10+00:00,False,False,never,,,1,1,,,,,0,4
dev_0000154,0,normal,,normal_standard,1,2026-01-20 12:15:33+00:00,False,False,never,,,1,1,,,,,0,0
dev_0000155,0,normal,,normal_standard,2,2026-01-15 02:10:47+00:00,False,False,never,,,2,2,,,,,0,2
dev_0000156,0,normal,,normal_standard,1,2026-01-30 18:03:26+00:00,False,False,never,,,1,1,,,,,0,2
dev_0000157,0,normal,,normal_standard,1,2026-01-17 06:05:00+00:00,False,False,never,,,1,1,,,,,0,4
dev_0000158,0,normal,,normal_standard,3,2026-01-25 02:42:26+00:00,False,False,never,,,3,3,,,,,0,0
dev_0000159,0,normal,,normal_standard,3,2026-01-18 16:00:11+00:00,False,False,never,,,3,3,,,,,0,0
dev_0000160,0,normal,,normal_standard,1,2026-01-09 03:53:55+00:00,False,False,never,,,1,1,,,,,0,2
dev_0000161,0,normal,,normal_standard,1,2026-01-28 05:21:52+00:00,False,False,never,,,1,1,,,,,0,2
dev_0000162,0,normal,,normal_standard,1,2026-01-02 06:49:39+00:00,False,False,never,,,1,1,,,,,0,3
dev_0000164,0,normal,,normal_standard,1,2026-01-13 01:21:41+00:00,False,False,never,,,1,1,,,,,0,1
dev_0000165,0,normal,,normal_standard,1,2026-01-10 03:56:49+00:00,False,False,never,,,1,1,,,,,0,3
dev_0000166,0,normal,,normal_standard,1,2026-01-14 22:33:24+00:00,False,False,never,,,1,1,,,,,0,3
dev_0000167,0,normal,,normal_standard,1,2026-01-30 23:03:46+00:00,False,False,never,,,1,1,,,,,0,2
dev_0000168,0,normal,,normal_standard,1,2026-01-05 23:20:59+00:00,False,False,never,,,1,1,,,,,0,0
dev_0000169,0,normal,,normal_standard,2,2026-01-30 06:48:01+00:00,False,False,never,,,2,2,,,,,0,0
dev_0000170,0,normal,,normal_standard,1,2026-01-15 11:05:15+00:00,False,False,never,,,1,1,,,,,0,2
dev_0000171,0,normal,,normal_standard,1,2026-01-08 19:01:47+00:00,False,False,never,,,1,1,,,,,0,1
dev_0000172,0,normal,,normal_standard,1,2026-01-27 07:21:21+00:00,False,False,never,,,1,1,,,,,0,0
dev_0000173,0,normal,,normal_standard,1,2026-01-08 05:48:25+00:00,False,False,never,,,1,1,,,,,0,0
dev_0000174,0,normal,,normal_standard,1,2026-01-02 09:24:19+00:00,False,False,never,,,1,1,,,,,0,1
dev_0000175,0,normal,,normal_standard,1,2026-01-30 19:07:09+00:00,False,False,never,,,1,1,,,,,0,1
dev_0000176,0,normal,,normal_standard,3,2026-01-03 11:54:25+00:00,False,False,never,,,3,3,,,,,0,2
dev_0000178,0,normal,,normal_standard,1,2026-01-23 22:42:14+00:00,False,False,never,,,1,1,,,,,0,1
dev_0000179,0,normal,,normal_standard,1,2026-01-14 21:44:15+00:00,False,False,never,,,1,1,,,,,0,0
dev_0000180,0,normal,,normal_standard,1,2026-01-17 15:13:34+00:00,False,False,never,,,1,1,,,,,0,4
dev_0000181,0,normal,,normal_standard,1,2026-01-29 01:38:26+00:00,False,False,never,,,1,1,,,,,0,3
dev_0000182,0,normal,,normal_standard,1,2026-01-10 17:13:31+00:00,False,False,never,,,1,1,,,,,0,0
dev_0000183,0,normal,,normal_standard,1,2026-01-01 13:20:37+00:00,False,False,never,,,1,1,,,,,0,1
dev_0000184,0,normal,,normal_standard,1,2026-01-24 16:48:14+00:00,False,False,never,,,1,1,,,,,0,3
dev_0000185,0,normal,,normal_standard,1,2026-01-14 05:21:31+00:00,False,False,never,,,1,1,,,,,0,3
dev_0000186,0,normal,,normal_standard,1,2026-01-10 02:59:25+00:00,False,False,never,,,1,1,,,,,0,1
dev_0000187,0,normal,,normal_standard,1,2026-01-13 23:09:50+00:00,False,False,never,,,1,1,,,,,0,2
dev_0000188,0,normal,,normal_standard,1,2026-01-01 20:48:43+00:00,False,False,never,,,1,1,,,,,0,4
dev_0000189,0,normal,,normal_standard,1,2026-01-29 11:28:50+00:00,False,False,never,,,1,1,,,,,0,0
dev_0000191,0,normal,,normal_standard,1,2026-01-30 15:05:47+00:00,False,False,never,,,1,1,,,,,0,0
dev_0000192,0,normal,,normal_standard,2,2026-01-27 08:30:04+00:00,False,False,never,,,2,2,,,,,0,2
dev_0000193,0,normal,,normal_standard,1,2026-01-07 08:33:33+00:00,False,False,never,,,1,1,,,,,0,3
dev_0000194,0,normal,,normal_standard,1,2026-01-22 10:46:42+00:00,False,False,never,,,1,1,,,,,0,4
dev_0000195,0,normal,,normal_standard,1,2026-01-10 02:05:46+00:00,False,False,never,,,1,1,,,,,0,2
dev_0000196,0,normal,,normal_standard,1,2026-01-29 10:42:31+00:00,False,False,never,,,1,1,,,,,0,1
dev_0000197,0,normal,,normal_standard,1,2026-01-23 17:43:24+00:00,False,False,never,,,1,1,,,,,0,3
dev_0000198,0,normal,,normal_standard,1,2026-01-15 08:31:00+00:00,False,False,never,,,1,1,,,,,0,1
dev_0000200,0,normal,,normal_standard,1,2026-01-24 06:04:05+00:00,False,False,never,,,1,1,,,,,0,0
dev_0000201,0,normal,,normal_standard,1,2026-01-23 07:33:30+00:00,False,False,never,,,1,1,,,,,0,0
dev_0000202,0,normal,,normal_standard,1,2026-01-09 22:16:41+00:00,False,False,never,,,1,1,,,,,0,4
dev_0000203,0,normal,,normal_standard,1,2026-01-14 04:48:20+00:00,False,False,never,,,1,1,,,,,0,4
dev_0000205,0,normal,,normal_standard,3,2026-01-22 03:16:20+00:00,False,False,never,,,3,3,,,,,0,3
dev_0000206,0,normal,,normal_standard,1,2026-01-10 15:22:01+00:00,False,False,never,,,1,1,,,,,0,0
dev_0000207,0,normal,,normal_standard,1,2026-01-28 21:34:36+00:00,False,False,never,,,1,1,,,,,0,0
dev_0000208,0,normal,,normal_standard,1,2026-01-04 15:53:16+00:00,False,False,never,,,1,1,,,,,0,0
dev_0000209,0,normal,,normal_standard,2,2026-01-10 11:59:02+00:00,False,False,never,,,2,2,,,,,0,3
dev_0000210,0,normal,,normal_standard,4,2026-01-23 10:48:53+00:00,False,False,never,,,4,4,,,,,0,0
dev_0000211,0,normal,,normal_standard,2,2026-01-17 09:18:39+00:00,False,False,never,,,2,2,,,,,0,0
dev_0000212,0,normal,,normal_standard,2,2026-01-24 18:03:24+00:00,False,False,never,,,2,2,,,,,0,0
dev_0000213,0,normal,,normal_standard,1,2026-01-18 19:18:29+00:00,False,False,never,,,1,1,,,,,0,1
dev_0000214,0,normal,,normal_standard,2,2026-01-22 10:41:25+00:00,False,False,never,,,2,2,,,,,0,0
dev_0000215,0,normal,,normal_standard,2,2026-01-14 01:40:55+00:00,False,False,never,,,2,2,,,,,0,2
dev_0000216,0,normal,,normal_standard,1,2026-01-02 23:44:28+00:00,False,False,never,,,1,1,,,,,0,3
dev_0000217,0,normal,,normal_standard,1,2026-01-01 01:49:32+00:00,False,False,never,,,1,1,,,,,0,4
dev_0000218,0,normal,,normal_standard,1,2026-01-01 10:40:56+00:00,False,False,never,,,1,1,,,,,0,2
dev_0000219,0,normal,,normal_standard,1,2026-01-17 00:20:42+00:00,False,False,never,,,1,1,,,,,0,0
dev_0000220,0,normal,,normal_standard,2,2026-01-19 13:03:32+00:00,False,False,never,,,2,2,,,,,0,4
dev_0000222,0,normal,,normal_standard,1,2026-01-01 19:24:52+00:00,False,False,never,,,1,1,,,,,0,0
dev_0000223,0,normal,,normal_standard,2,2026-01-01 14:34:42+00:00,False,False,never,,,2,2,,,,,0,4
dev_0000224,0,normal,,normal_standard,1,2026-01-23 18:58:48+00:00,False,False,never,,,1,1,,,,,0,0
dev_0000225,0,normal,,normal_standard,1,2026-01-25 10:37:42+00:00,False,False,never,,,1,1,,,,,0,2
dev_0000226,0,normal,,normal_standard,1,2026-01-24 12:06:40+00:00,False,False,never,,,1,1,,,,,0,1
dev_0000227,0,normal,,normal_standard,3,2026-01-04 15:55:19+00:00,False,False,never,,,3,3,,,,,0,4
dev_0000228,0,normal,,normal_standard,1,2026-01-30 04:49:24+00:00,False,False,never,,,1,1,,,,,0,1
dev_0000229,0,normal,,normal_standard,1,2026-01-23 05:50:50+00:00,False,False,never,,,1,1,,,,,0,3
dev_0000230,0,normal,,normal_standard,1,2026-01-09 12:08:01+00:00,False,False,never,,,1,1,,,,,0,2
dev_0000231,0,normal,,normal_standard,2,2026-01-03 13:08:19+00:00,False,False,never,,,2,2,,,,,0,0
dev_0000232,0,normal,,normal_standard,2,2026-01-27 05:19:34+00:00,False,False,never,,,2,2,,,,,0,0
dev_0000233,0,normal,,normal_standard,1,2026-01-13 01:31:47+00:00,False,False,never,,,1,1,,,,,0,1
dev_0000234,0,normal,,normal_standard,1,2026-01-15 09:32:41+00:00,False,False,never,,,1,1,,,,,0,2
dev_0000235,0,normal,,normal_standard,1,2026-01-29 10:29:52+00:00,False,False,never,,,1,1,,,,,0,1
dev_0000237,0,normal,,normal_standard,1,2026-01-12 04:00:39+00:00,False,False,never,,,1,1,,,,,0,4
dev_0000238,0,normal,,normal_standard,1,2026-01-15 12:21:47+00:00,False,False,never,,,1,1,,,,,0,0
dev_0000239,0,normal,,normal_standard,1,2026-01-05 23:21:39+00:00,False,False,never,,,1,1,,,,,0,4
dev_0000240,0,normal,,normal_standard,1,2026-01-29 06:43:25+00:00,False,False,never,,,1,1,,,,,0,3
dev_0000241,0,normal,,normal_standard,1,2026-01-29 01:27:33+00:00,False,False,never,,,1,1,,,,,0,1
dev_0000242,0,normal,,normal_standard,1,2026-01-27 17:24:57+00:00,False,False,never,,,1,1,,,,,0,3
dev_0000243,0,normal,,normal_standard,1,2026-01-15 02:40:42+00:00,False,False,never,,,1,1,,,,,0,1
dev_0000246,0,normal,,normal_standard,1,2026-01-27 20:51:32+00:00,False,False,never,,,1,1,,,,,0,2
dev_0000247,0,normal,,normal_standard,1,2026-01-23 18:07:30+00:00,False,False,never,,,1,1,,,,,0,0
dev_0000249,0,normal,,normal_standard,1,2026-01-29 22:40:49+00:00,False,False,never,,,1,1,,,,,0,3
dev_0000250,0,normal,,normal_standard,2,2026-01-13 13:20:50+00:00,False,False,never,,,2,2,,,,,0,4
dev_0000252,0,normal,,normal_standard,1,2026-01-14 17:14:49+00:00,False,False,never,,,1,1,,,,,0,2
dev_0000253,0,normal,,normal_standard,1,2026-01-17 11:08:15+00:00,False,False,never,,,1,1,,,,,0,4
dev_0000254,0,normal,,normal_standard,3,2026-01-27 00:36:46+00:00,False,False,never,,,3,3,,,,,0,4
dev_0000255,0,normal,,normal_standard,1,2026-01-16 03:51:10+00:00,False,False,never,,,1,1,,,,,0,4
dev_0000256,0,normal,,normal_standard,1,2026-01-09 13:52:51+00:00,False,False,never,,,1,1,,,,,0,1
dev_0000257,0,normal,,normal_standard,1,2026-01-12 20:26:48+00:00,False,False,never,,,1,1,,,,,0,4
dev_0000258,0,normal,,normal_standard,1,2026-01-17 00:16:57+00:00,False,False,never,,,1,1,,,,,0,4
dev_0000259,0,normal,,normal_standard,1,2026-01-26 09:34:53+00:00,False,False,never,,,1,1,,,,,0,3
dev_0000260,0,normal,,normal_standard,3,2026-01-26 05:47:09+00:00,False,False,never,,,3,3,,,,,0,0
dev_0000261,0,normal,,normal_standard,1,2026-01-05 14:52:47+00:00,False,False,never,,,1,1,,,,,0,1
dev_0000262,0,normal,,normal_standard,1,2026-01-30 17:06:01+00:00,False,False,never,,,1,1,,,,,0,1
dev_0000263,0,normal,,normal_standard,1,2026-01-15 07:57:52+00:00,False,False,never,,,1,1,,,,,0,2
dev_0000264,0,normal,,normal_standard,2,2026-01-08 05:33:44+00:00,False,False,never,,,2,2,,,,,0,0
dev_0000265,0,normal,,normal_standard,2,2026-01-18 04:44:55+00:00,False,False,never,,,2,2,,,,,0,0
dev_0000266,0,normal,,normal_standard,2,2026-01-14 05:20:35+00:00,False,False,never,,,2,2,,,,,0,3
dev_0000267,0,normal,,normal_standard,1,2026-01-11 02:00:46+00:00,False,False,never,,,1,1,,,,,0,3
dev_0000268,0,normal,,normal_standard,1,2026-01-05 06:23:32+00:00,False,False,never,,,1,1,,,,,0,3
dev_0000269,0,normal,,normal_standard,1,2026-01-27 02:01:48+00:00,False,False,never,,,1,1,,,,,0,0
dev_0000270,0,normal,,normal_standard,2,2026-01-25 13:41:42+00:00,False,False,never,,,2,2,,,,,0,4
dev_0000271,0,normal,,normal_standard,1,2026-01-07 12:52:40+00:00,False,False,never,,,1,1,,,,,0,4
dev_0000272,0,normal,,normal_standard,3,2026-01-15 10:35:05+00:00,False,False,never,,,3,3,,,,,0,4
dev_0000274,0,normal,,normal_standard,1,2026-01-20 09:17:51+00:00,False,False,never,,,1,1,,,,,0,0
dev_0000275,0,normal,,normal_standard,1,2026-01-25 17:18:31+00:00,False,False,never,,,1,1,,,,,0,0
dev_0000276,0,normal,,normal_standard,1,2026-01-26 04:07:56+00:00,False,False,never,,,1,1,,,,,0,3
dev_0000277,0,normal,,normal_standard,1,2026-01-17 16:46:51+00:00,False,False,never,,,1,1,,,,,0,3
dev_0000278,0,normal,,normal_standard,1,2026-01-22 00:01:26+00:00,False,False,never,,,1,1,,,,,0,3
dev_0000279,0,normal,,normal_standard,1,2026-01-02 12:57:16+00:00,False,False,never,,,1,1,,,,,0,3
dev_0000280,0,normal,,normal_standard,1,2026-01-20 18:22:18+00:00,False,False,never,,,1,1,,,,,0,0
dev_0000281,0,normal,,normal_standard,1,2026-01-18 14:34:23+00:00,False,False,never,,,1,1,,,,,0,3
dev_0000283,0,normal,,normal_standard,1,2026-01-18 15:58:36+00:00,False,False,never,,,1,1,,,,,0,1
