device_id,group,split
attack_burst_0173,burst,train
attack_burst_0174,burst,validation
attack_burst_0175,burst,train
attack_burst_0176,burst,train
attack_burst_0177,burst,train
attack_burst_0178,burst,test
attack_burst_0179,burst,train
attack_burst_0180,burst,train
attack_burst_0181,burst,train
attack_burst_0182,burst,train
attack_burst_0183,burst,train
attack_burst_0184,burst,train
attack_burst_0185,burst,validation
attack_burst_0186,burst,train
attack_burst_0187,burst,test
attack_burst_0188,burst,test
attack_burst_0189,burst,train
attack_burst_0190,burst,train
attack_burst_0191,burst,train
attack_burst_0192,burst,test
attack_burst_0193,burst,train
attack_burst_0194,burst,train
attack_burst_0195,burst,train
attack_burst_0196,burst,test
attack_burst_0197,burst,train
attack_burst_0198,burst,validation
attack_burst_0199,burst,train
attack_burst_0200,burst,test
attack_burst_0201,burst,test
attack_burst_0202,burst,train
attack_burst_0203,burst,train
attack_burst_0204,burst,train
attack_burst_0205,burst,train
attack_burst_0206,burst,train
attack_burst_0207,burst,validation
attack_burst_0208,burst,train
attack_burst_0209,burst,train
attack_burst_0210,burst,train
attack_burst_0211,burst,train
attack_burst_0212,burst,train
attack_burst_0213,burst,test
attack_burst_0214,burst,train
attack_burst_0215,burst,train
attack_burst_0216,burst,train
attack_burst_0217,burst,train
attack_burst_0218,burst,train
attack_burst_0219,burst,train
attack_burst_0220,burst,train
attack_burst_0221,burst,train
attack_burst_0222,burst,validation
attack_burst_0223,burst,train
attack_burst_0224,burst,train
attack_burst_0225,burst,train
attack_burst_0226,burst,validation
attack_burst_0227,burst,train
attack_burst_0228,burst,train
attack_burst_0229,burst,train
attack_burst_0230,burst,test
attack_burst_0231,burst,train
attack_burst_0232,burst,train
attack_burst_0233,burst,test
attack_burst_0234,burst,test
attack_burst_0235,burst,train
attack_burst_0236,burst,train
attack_burst_0237,burst,test
attack_burst_0238,burst,train
attack_burst_0239,burst,train
attack_burst_0240,burst,test
attack_burst_0241,burst,train
attack_burst_0242,burst,train
attack_burst_0243,burst,train
attack_burst_0244,burst,train
attack_burst_0245,burst,train
attack_burst_0246,burst,train
attack_evasive_0000,evasive,train
attack_evasive_0001,evasive,train
attack_evasive_0002,evasive,train
attack_evasive_0003,evasive,train
attack_evasive_0004,evasive,train
attack_evasive_0005,evasive,train
attack_evasive_0006,evasive,validation
attack_evasive_0007,evasive,train
attack_evasive_0008,evasive,train
attack_evasive_0009,evasive,train
attack_evasive_0010,evasive,validation
attack_evasive_0011,evasive,test
attack_evasive_0012,evasive,train
attack_evasive_0013,evasive,train
attack_evasive_0014,evasive,test
attack_evasive_0015,evasive,train
attack_evasive_0016,evasive,test
attack_evasive_0017,evasive,train
attack_evasive_0018,evasive,test
attack_evasive_0019,evasive,train
attack_evasive_0020,evasive,test
attack_evasive_0021,evasive,train
attack_evasive_0022,evasive,validation
attack_evasive_0023,evasive,train
attack_evasive_0024,evasive,validation
attack_evasive_0025,evasive,train
attack_evasive_0026,evasive,train
attack_evasive_0027,evasive,train
attack_evasive_0028,evasive,train
attack_evasive_0029,evasive,train
attack_evasive_0030,evasive,train
attack_evasive_0031,evasive,test
attack_evasive_0032,evasive,train
attack_evasive_0033,evasive,train
attack_evasive_0034,evasive,train
attack_evasive_0035,evasive,test
attack_evasive_0036,evasive,train
attack_evasive_0037,evasive,test
attack_evasive_0038,evasive,train
attack_evasive_0039,evasive,train
attack_evasive_0040,evasive,train
attack_evasive_0041,evasive,train
attack_evasive_0042,evasive,train
attack_evasive_0043,evasive,train
attack_evasive_0044,evasive,validation
attack_evasive_0045,evasive,train
attack_evasive_0046,evasive,train
attack_evasive_0047,evasive,train
attack_evasive_0048,evasive,train
attack_evasive_0049,evasive,validation
attack_evasive_0050,evasive,train
attack_evasive_0051,evasive,train
attack_evasive_0052,evasive,test
attack_evasive_0053,evasive,train
attack_evasive_0054,evasive,train
attack_evasive_0055,evasive,train
attack_evasive_0056,evasive,validation
attack_evasive_0057,evasive,train
attack_evasive_0058,evasive,train
attack_evasive_0059,evasive,train
attack_evasive_0060,evasive,validation
attack_evasive_0061,evasive,train
attack_evasive_0062,evasive,train
attack_evasive_0063,evasive,test
attack_evasive_0064,evasive,train
attack_evasive_0065,evasive,train
attack_evasive_0066,evasive,test
attack_evasive_0067,evasive,train
attack_evasive_0068,evasive,test
attack_evasive_0069,evasive,train
attack_evasive_0070,evasive,train
attack_evasive_0071,evasive,train
attack_evasive_0072,evasive,train
attack_evasive_0073,evasive,train
attack_evasive_0074,evasive,train
attack_evasive_0075,evasive,train
attack_evasive_0076,evasive,train
attack_evasive_0077,evasive,train
attack_evasive_0078,evasive,train
attack_evasive_0079,evasive,train
attack_evasive_0080,evasive,train
attack_evasive_0081,evasive,train
attack_evasive_0082,evasive,train
attack_evasive_0083,evasive,train
attack_evasive_0084,evasive,train
attack_evasive_0085,evasive,test
attack_evasive_0086,evasive,train
attack_evasive_0087,evasive,train
attack_evasive_0088,evasive,train
attack_evasive_0089,evasive,train
attack_evasive_0090,evasive,train
attack_evasive_0091,evasive,test
attack_evasive_0092,evasive,validation
attack_evasive_0093,evasive,test
attack_evasive_0094,evasive,train
attack_evasive_0095,evasive,validation
attack_evasive_0096,evasive,train
attack_evasive_0097,evasive,validation
attack_evasive_0098,evasive,train
attack_evasive_0099,evasive,train
attack_evasive_0100,evasive,train
attack_evasive_0101,evasive,train
attack_evasive_0102,evasive,validation
attack_evasive_0103,evasive,test
attack_evasive_0104,evasive,train
attack_evasive_0105,evasive,validation
attack_evasive_0106,evasive,train
attack_evasive_0107,evasive,train
attack_evasive_0108,evasive,train
attack_evasive_0109,evasive,test
attack_evasive_0110,evasive,test
attack_evasive_0111,evasive,train
attack_evasive_0112,evasive,validation
attack_evasive_0113,evasive,train
attack_evasive_0114,evasive,test
attack_evasive_0115,evasive,validation
attack_evasive_0116,evasive,train
attack_evasive_0117,evasive,validation
attack_evasive_0118,evasive,validation
attack_evasive_0119,evasive,train
attack_evasive_0120,evasive,test
attack_evasive_0121,evasive,validation
attack_evasive_0122,evasive,train
attack_evasive_0123,evasive,train
attack_evasive_0124,evasive,train
attack_evasive_0125,evasive,validation
attack_evasive_0126,evasive,train
attack_evasive_0127,evasive,test
attack_evasive_0128,evasive,train
attack_evasive_0129,evasive,train
attack_evasive_0130,evasive,validation
attack_evasive_0131,evasive,train
attack_evasive_0132,evasive,train
attack_evasive_0133,evasive,train
attack_evasive_0134,evasive,train
attack_patient_0000,patient,train
attack_patient_0001,patient,train
attack_patient_0002,patient,validation
attack_patient_0003,patient,train
attack_patient_0004,patient,train
attack_patient_0005,patient,train
attack_patient_0006,patient,validation
attack_patient_0007,patient,test
attack_patient_0008,patient,train
attack_patient_0009,patient,train
attack_patient_0010,patient,train
attack_patient_0011,patient,train
attack_patient_0012,patient,validation
attack_patient_0013,patient,train
attack_patient_0014,patient,validation
attack_patient_0015,patient,train
attack_patient_0016,patient,train
attack_patient_0017,patient,train
attack_patient_0018,patient,test
attack_patient_0019,patient,train
attack_patient_0020,patient,train
attack_patient_0021,patient,test
attack_patient_0022,patient,train
attack_patient_0023,patient,train
attack_patient_0024,patient,train
attack_patient_0025,patient,train
attack_patient_0026,patient,test
attack_patient_0027,patient,test
attack_patient_0028,patient,train
attack_patient_0029,patient,train
attack_patient_0030,patient,test
attack_patient_0031,patient,validation
attack_patient_0032,patient,validation
attack_patient_0033,patient,train
attack_patient_0034,patient,test
attack_patient_0035,patient,train
attack_patient_0036,patient,train
attack_patient_0037,patient,train
attack_patient_0038,patient,train
attack_patient_0039,patient,test
attack_patient_0040,patient,train
attack_patient_0041,patient,train
attack_patient_0042,patient,train
attack_patient_0043,patient,train
attack_patient_0044,patient,test
attack_patient_0045,patient,train
attack_patient_0046,patient,train
attack_patient_0047,patient,train
attack_patient_0048,patient,validation
attack_patient_0049,patient,validation
attack_patient_0050,patient,train
attack_patient_0051,patient,validation
attack_patient_0052,patient,train
attack_patient_0053,patient,train
attack_patient_0054,patient,train
attack_patient_0055,patient,train
attack_patient_0056,patient,train
attack_patient_0057,patient,test
attack_patient_0058,patient,train
attack_patient_0059,patient,train
attack_patient_0060,patient,train
attack_patient_0061,patient,train
attack_patient_0062,patient,train
attack_patient_0063,patient,train
attack_patient_0064,patient,train
attack_patient_0065,patient,validation
attack_patient_0066,patient,train
attack_patient_0067,patient,train
flash_00000,flash_sale,train
flash_00001,flash_sale,train
flash_00002,flash_sale,train
flash_00003,flash_sale,test
flash_00004,flash_sale,train
flash_00005,flash_sale,train
flash_00006,flash_sale,train
flash_00007,flash_sale,train
flash_00008,flash_sale,train
flash_00009,flash_sale,train
flash_00010,flash_sale,validation
flash_00011,flash_sale,train
flash_00012,flash_sale,validation
flash_00013,flash_sale,validation
flash_00014,flash_sale,train
flash_00015,flash_sale,test
flash_00016,flash_sale,train
flash_00017,flash_sale,train
flash_00018,flash_sale,train
flash_00019,flash_sale,train
flash_00020,flash_sale,train
flash_00021,flash_sale,train
flash_00022,flash_sale,validation
flash_00023,flash_sale,validation
flash_00024,flash_sale,train
flash_00025,flash_sale,train
flash_00026,flash_sale,train
flash_00027,flash_sale,train
flash_00028,flash_sale,train
flash_00029,flash_sale,train
flash_00030,flash_sale,train
flash_00031,flash_sale,validation
flash_00032,flash_sale,train
flash_00033,flash_sale,train
flash_00034,flash_sale,test
flash_00035,flash_sale,train
flash_00036,flash_sale,validation
flash_00037,flash_sale,train
flash_00038,flash_sale,train
flash_00039,flash_sale,train
flash_00040,flash_sale,train
flash_00041,flash_sale,train
flash_00042,flash_sale,train
flash_00043,flash_sale,train
flash_00044,flash_sale,validation
flash_00045,flash_sale,test
flash_00046,flash_sale,train
flash_00047,flash_sale,train
flash_00048,flash_sale,train
flash_00049,flash_sale,train
flash_00050,flash_sale,train
flash_00051,flash_sale,train
flash_00052,flash_sale,test
flash_00053,flash_sale,train
flash_00054,flash_sale,test
flash_00055,flash_sale,test
flash_00056,flash_sale,train
flash_00057,flash_sale,train
flash_00058,flash_sale,train
flash_00059,flash_sale,train
flash_00060,flash_sale,train
flash_00061,flash_sale,train
flash_00062,flash_sale,train
flash_00063,flash_sale,test
flash_00064,flash_sale,train
flash_00065,flash_sale,train
flash_00066,flash_sale,train
flash_00067,flash_sale,validation
flash_00068,flash_sale,train
flash_00069,flash_sale,train
flash_00070,flash_sale,train
flash_00071,flash_sale,train
flash_00072,flash_sale,test
flash_00073,flash_sale,train
flash_00074,flash_sale,train
flash_00075,flash_sale,test
flash_00076,flash_sale,train
flash_00077,flash_sale,train
flash_00078,flash_sale,train
flash_00079,flash_sale,validation
flash_00080,flash_sale,train
flash_00081,flash_sale,train
flash_00082,flash_sale,validation
flash_00083,flash_sale,train
flash_00084,flash_sale,train
flash_00085,flash_sale,train
flash_00086,flash_sale,train
flash_00087,flash_sale,train
flash_00088,flash_sale,train
flash_00089,flash_sale,train
flash_00090,flash_sale,validation
flash_00091,flash_sale,train
flash_00092,flash_sale,train
flash_00093,flash_sale,train
flash_00094,flash_sale,train
flash_00095,flash_sale,train
flash_00096,flash_sale,train
flash_00097,flash_sale,train
flash_00098,flash_sale,train
flash_00099,flash_sale,test
flash_00100,flash_sale,train
flash_00101,flash_sale,train
flash_00102,flash_sale,train
flash_00103,flash_sale,train
flash_00104,flash_sale,test
flash_00105,flash_sale,validation
flash_00106,flash_sale,train
flash_00107,flash_sale,train
flash_00108,flash_sale,test
flash_00109,flash_sale,train
flash_00110,flash_sale,train
flash_00111,flash_sale,train
flash_00112,flash_sale,train
flash_00113,flash_sale,train
flash_00114,flash_sale,train
flash_00115,flash_sale,test
flash_00116,flash_sale,train
flash_00117,flash_sale,test
flash_00118,flash_sale,train
flash_00119,flash_sale,train
flash_00120,flash_sale,train
flash_00121,flash_sale,train
flash_00122,flash_sale,train
flash_00123,flash_sale,validation
flash_00124,flash_sale,train
flash_00125,flash_sale,validation
flash_00126,flash_sale,train
flash_00127,flash_sale,train
flash_00128,flash_sale,train
flash_00129,flash_sale,train
flash_00130,flash_sale,train
flash_00131,flash_sale,test
flash_00132,flash_sale,validation
flash_00133,flash_sale,validation
flash_00134,flash_sale,train
flash_00135,flash_sale,validation
flash_00136,flash_sale,train
flash_00137,flash_sale,validation
flash_00138,flash_sale,validation
flash_00139,flash_sale,validation
flash_00140,flash_sale,train
flash_00141,flash_sale,train
flash_00142,flash_sale,train
flash_00143,flash_sale,train
flash_00144,flash_sale,train
flash_00145,flash_sale,train
flash_00146,flash_sale,train
flash_00147,flash_sale,validation
flash_00148,flash_sale,validation
flash_00149,flash_sale,train
flash_00150,flash_sale,train
flash_00151,flash_sale,train
flash_00152,flash_sale,validation
flash_00153,flash_sale,train
flash_00154,flash_sale,train
flash_00155,flash_sale,train
flash_00156,flash_sale,train
flash_00157,flash_sale,train
flash_00158,flash_sale,train
flash_00159,flash_sale,validation
flash_00160,flash_sale,train
flash_00161,flash_sale,train
flash_00162,flash_sale,train
flash_00163,flash_sale,train
flash_00164,flash_sale,train
flash_00165,flash_sale,train
flash_00166,flash_sale,test
flash_00167,flash_sale,train
flash_00168,flash_sale,train
flash_00169,flash_sale,train
flash_00170,flash_sale,validation
flash_00171,flash_sale,train
flash_00172,flash_sale,train
flash_00173,flash_sale,test
flash_00174,flash_sale,train
flash_00175,flash_sale,train
flash_00176,flash_sale,train
flash_00177,flash_sale,train
flash_00178,flash_sale,train
flash_00179,flash_sale,validation
flash_00180,flash_sale,validation
flash_00181,flash_sale,train
flash_00182,flash_sale,train
flash_00183,flash_sale,validation
flash_00184,flash_sale,train
flash_00185,flash_sale,validation
flash_00186,flash_sale,validation
flash_00187,flash_sale,test
flash_00188,flash_sale,validation
flash_00189,flash_sale,train
flash_00190,flash_sale,validation
flash_00191,flash_sale,train
flash_00192,flash_sale,test
flash_00193,flash_sale,test
flash_00194,flash_sale,validation
flash_00195,flash_sale,train
flash_00196,flash_sale,train
flash_00197,flash_sale,validation
flash_00198,flash_sale,train
flash_00199,flash_sale,validation
flash_00200,flash_sale,train
flash_00201,flash_sale,validation
flash_00202,flash_sale,train
flash_00203,flash_sale,train
flash_00204,flash_sale,test
flash_00205,flash_sale,validation
flash_00206,flash_sale,test
flash_00207,flash_sale,train
flash_00208,flash_sale,train
flash_00209,flash_sale,test
flash_00210,flash_sale,train
flash_00211,flash_sale,train
flash_00212,flash_sale,train
flash_00213,flash_sale,train
flash_00214,flash_sale,train
flash_00215,flash_sale,test
flash_00216,flash_sale,test
flash_00217,flash_sale,train
flash_00218,flash_sale,train
flash_00219,flash_sale,test
flash_00220,flash_sale,train
flash_00221,flash_sale,train
flash_00222,flash_sale,train
flash_00223,flash_sale,validation
flash_00224,flash_sale,train
flash_00225,flash_sale,test
flash_00226,flash_sale,train
flash_00227,flash_sale,test
flash_00228,flash_sale,train
flash_00229,flash_sale,train
flash_00230,flash_sale,train
flash_00231,flash_sale,train
flash_00232,flash_sale,validation
flash_00233,flash_sale,train
flash_00234,flash_sale,test
flash_00235,flash_sale,train
flash_00236,flash_sale,train
flash_00237,flash_sale,train
flash_00238,flash_sale,test
flash_00239,flash_sale,train
flash_00240,flash_sale,train
flash_00241,flash_sale,train
flash_00242,flash_sale,train
flash_00243,flash_sale,train
flash_00244,flash_sale,train
flash_00245,flash_sale,train
flash_00246,flash_sale,train
flash_00247,flash_sale,train
flash_00248,flash_sale,train
flash_00249,flash_sale,train
flash_00250,flash_sale,train
flash_00251,flash_sale,test
flash_00252,flash_sale,train
flash_00253,flash_sale,train
flash_00254,flash_sale,train
flash_00255,flash_sale,train
flash_00256,flash_sale,validation
flash_00257,flash_sale,train
flash_00258,flash_sale,train
flash_00259,flash_sale,train
flash_00260,flash_sale,test
flash_00261,flash_sale,train
flash_00262,flash_sale,validation
flash_00263,flash_sale,test
flash_00264,flash_sale,train
flash_00265,flash_sale,test
flash_00266,flash_sale,train
flash_00267,flash_sale,train
flash_00268,flash_sale,train
flash_00269,flash_sale,train
flash_00270,flash_sale,train
flash_00271,flash_sale,train
flash_00272,flash_sale,validation
flash_00273,flash_sale,train
flash_00274,flash_sale,train
flash_00275,flash_sale,train
flash_00276,flash_sale,test
flash_00277,flash_sale,train
flash_00278,flash_sale,train
flash_00279,flash_sale,train
flash_00280,flash_sale,train
flash_00281,flash_sale,test
flash_00282,flash_sale,train
flash_00283,flash_sale,train
flash_00284,flash_sale,test
flash_00285,flash_sale,train
flash_00286,flash_sale,train
flash_00287,flash_sale,test
flash_00288,flash_sale,train
flash_00289,flash_sale,test
flash_00290,flash_sale,train
flash_00291,flash_sale,train
flash_00292,flash_sale,train
flash_00293,flash_sale,train
flash_00294,flash_sale,train
flash_00295,flash_sale,test
flash_00296,flash_sale,train
flash_00297,flash_sale,validation
flash_00298,flash_sale,train
flash_00299,flash_sale,test
flash_00300,flash_sale,train
flash_00301,flash_sale,train
flash_00302,flash_sale,train
flash_00303,flash_sale,train
flash_00304,flash_sale,train
flash_00305,flash_sale,train
flash_00306,flash_sale,train
flash_00307,flash_sale,train
flash_00308,flash_sale,train
flash_00309,flash_sale,train
flash_00310,flash_sale,train
flash_00311,flash_sale,train
flash_00312,flash_sale,train
flash_00313,flash_sale,train
flash_00314,flash_sale,train
flash_00315,flash_sale,train
flash_00316,flash_sale,validation
flash_00317,flash_sale,test
flash_00318,flash_sale,train
flash_00319,flash_sale,train
flash_00320,flash_sale,train
flash_00321,flash_sale,train
flash_00322,flash_sale,train
flash_00323,flash_sale,train
flash_00324,flash_sale,train
flash_00325,flash_sale,train
flash_00326,flash_sale,train
flash_00327,flash_sale,train
flash_00328,flash_sale,train
flash_00329,flash_sale,train
flash_00330,flash_sale,validation
flash_00331,flash_sale,train
flash_00332,flash_sale,train
flash_00333,flash_sale,train
flash_00334,flash_sale,train
flash_00335,flash_sale,train
flash_00336,flash_sale,train
flash_00337,flash_sale,train
flash_00338,flash_sale,train
flash_00339,flash_sale,train
flash_00340,flash_sale,train
flash_00341,flash_sale,train
flash_00342,flash_sale,test
flash_00343,flash_sale,train
flash_00344,flash_sale,validation
flash_00345,flash_sale,train
flash_00346,flash_sale,validation
flash_00347,flash_sale,train
flash_00348,flash_sale,train
flash_00349,flash_sale,train
flash_00350,flash_sale,train
flash_00351,flash_sale,train
flash_00352,flash_sale,train
flash_00353,flash_sale,test
flash_00354,flash_sale,train
flash_00355,flash_sale,train
flash_00356,flash_sale,train
flash_00357,flash_sale,train
flash_00358,flash_sale,validation
flash_00359,flash_sale,test
flash_00360,flash_sale,train
flash_00361,flash_sale,train
flash_00362,flash_sale,test
flash_00363,flash_sale,train
flash_00364,flash_sale,train
flash_00365,flash_sale,validation
flash_00366,flash_sale,test
flash_00367,flash_sale,test
flash_00368,flash_sale,train
flash_00369,flash_sale,train
flash_00370,flash_sale,train
flash_00371,flash_sale,validation
flash_00372,flash_sale,validation
flash_00373,flash_sale,train
flash_00374,flash_sale,train
flash_00375,flash_sale,train
flash_00376,flash_sale,train
flash_00377,flash_sale,train
flash_00378,flash_sale,train
flash_00379,flash_sale,train
flash_00380,flash_sale,validation
flash_00381,flash_sale,train
flash_00382,flash_sale,train
flash_00383,flash_sale,train
flash_00384,flash_sale,train
flash_00385,flash_sale,test
flash_00386,flash_sale,train
flash_00387,flash_sale,train
flash_00388,flash_sale,train
flash_00389,flash_sale,train
flash_00390,flash_sale,test
flash_00391,flash_sale,validation
flash_00392,flash_sale,train
flash_00393,flash_sale,validation
flash_00394,flash_sale,train
flash_00395,flash_sale,validation
flash_00396,flash_sale,train
flash_00397,flash_sale,train
flash_00398,flash_sale,train
flash_00399,flash_sale,train
flash_00400,flash_sale,train
flash_00401,flash_sale,train
flash_00402,flash_sale,test
flash_00403,flash_sale,test
flash_00404,flash_sale,train
flash_00405,flash_sale,test
flash_00406,flash_sale,validation
flash_00407,flash_sale,validation
flash_00408,flash_sale,test
flash_00409,flash_sale,train
flash_00410,flash_sale,train
flash_00411,flash_sale,train
flash_00412,flash_sale,train
flash_00413,flash_sale,train
flash_00414,flash_sale,train
flash_00415,flash_sale,train
flash_00416,flash_sale,train
flash_00417,flash_sale,validation
flash_00418,flash_sale,train
flash_00419,flash_sale,validation
flash_00420,flash_sale,train
flash_00421,flash_sale,train
flash_00422,flash_sale,train
flash_00423,flash_sale,train
flash_00424,flash_sale,validation
flash_00425,flash_sale,train
flash_00426,flash_sale,validation
flash_00427,flash_sale,train
flash_00428,flash_sale,train
flash_00429,flash_sale,train
flash_00430,flash_sale,test
flash_00431,flash_sale,train
flash_00432,flash_sale,train
flash_00433,flash_sale,train
flash_00434,flash_sale,train
flash_00435,flash_sale,test
flash_00436,flash_sale,train
flash_00437,flash_sale,train
flash_00438,flash_sale,train
flash_00439,flash_sale,validation
flash_00440,flash_sale,train
flash_00441,flash_sale,train
flash_00442,flash_sale,train
flash_00443,flash_sale,train
flash_00444,flash_sale,train
flash_00445,flash_sale,train
flash_00446,flash_sale,train
flash_00447,flash_sale,train
flash_00448,flash_sale,train
flash_00449,flash_sale,validation
flash_00450,flash_sale,train
flash_00451,flash_sale,train
flash_00452,flash_sale,train
flash_00453,flash_sale,test
flash_00454,flash_sale,test
flash_00455,flash_sale,test
flash_00456,flash_sale,train
flash_00457,flash_sale,train
flash_00458,flash_sale,test
flash_00459,flash_sale,train
flash_00460,flash_sale,train
flash_00461,flash_sale,train
flash_00462,flash_sale,train
flash_00463,flash_sale,train
flash_00464,flash_sale,validation
flash_00465,flash_sale,train
flash_00466,flash_sale,train
flash_00467,flash_sale,train
flash_00468,flash_sale,train
flash_00469,flash_sale,train
flash_00470,flash_sale,train
flash_00471,flash_sale,validation
flash_00472,flash_sale,train
flash_00473,flash_sale,train
flash_00474,flash_sale,train
flash_00475,flash_sale,validation
flash_00476,flash_sale,train
flash_00477,flash_sale,train
flash_00478,flash_sale,train
flash_00479,flash_sale,train
flash_00480,flash_sale,validation
flash_00481,flash_sale,train
flash_00482,flash_sale,train
flash_00483,flash_sale,train
flash_00484,flash_sale,train
flash_00485,flash_sale,train
flash_00486,flash_sale,test
flash_00487,flash_sale,validation
flash_00488,flash_sale,train
flash_00489,flash_sale,test
flash_00490,flash_sale,validation
flash_00491,flash_sale,train
flash_00492,flash_sale,train
flash_00493,flash_sale,train
flash_00494,flash_sale,train
flash_00495,flash_sale,train
flash_00496,flash_sale,test
flash_00497,flash_sale,test
flash_00498,flash_sale,test
flash_00499,flash_sale,train
flash_00500,flash_sale,train
flash_00501,flash_sale,train
flash_00502,flash_sale,train
flash_00503,flash_sale,test
flash_00504,flash_sale,train
flash_00505,flash_sale,train
flash_00506,flash_sale,test
flash_00507,flash_sale,validation
flash_00508,flash_sale,validation
flash_00509,flash_sale,validation
flash_00510,flash_sale,train
flash_00511,flash_sale,train
flash_00512,flash_sale,train
flash_00513,flash_sale,train
flash_00514,flash_sale,train
flash_00515,flash_sale,train
flash_00516,flash_sale,train
flash_00517,flash_sale,train
flash_00518,flash_sale,train
