device_id,leakage_group_id,scenario,fold
t4_dev_002650,t4_act_001642,subscription_dunning_hard,2
t4_dev_000749,t4_act_000234,subscription_dunning_hard,1
t4_dev_007409,t4_act_005347,subscription_dunning_hard,4
t4_dev_002120,t4_act_001248,subscription_dunning_hard,2
t4_dev_004800,t4_act_003227,subscription_dunning_hard,3
t4_dev_005303,t4_act_003606,subscription_dunning_hard,3
t4_dev_005062,t4_act_003415,subscription_dunning_hard,1
t4_dev_000640,t4_act_000125,subscription_dunning_hard,3
t4_dev_003745,t4_act_002409,subscription_dunning_hard,3
t4_dev_000742,t4_act_000227,subscription_dunning_hard,3
t4_dev_005619,t4_act_003875,subscription_dunning_hard,1
t4_dev_005573,t4_act_003835,subscription_dunning_hard,3
t4_dev_000779,t4_act_000264,subscription_dunning_hard,3
t4_dev_004226,t4_act_002804,dormant_account_spike,2
t4_dev_000724,t4_act_000209,subscription_dunning_hard,3
t4_dev_007093,t4_act_005096,subscription_dunning_hard,0
t4_dev_004578,t4_act_003063,subscription_dunning_hard,4
t4_dev_002037,t4_act_001198,subscription_dunning_hard,2
t4_dev_004224,t4_act_002802,subscription_dunning_hard,1
t4_dev_005357,t4_act_003652,subscription_dunning_hard,3
t4_dev_000599,t4_act_000084,subscription_dunning_hard,3
t4_dev_006635,t4_act_004721,dormant_account_spike,2
t4_dev_009001,t4_act_006699,subscription_dunning_hard,0
t4_dev_001880,t4_act_001071,subscription_dunning_hard,2
t4_dev_004933,t4_act_003312,subscription_dunning_hard,2
t4_dev_000691,t4_act_000176,subscription_dunning_hard,4
t4_dev_004719,t4_act_003172,dormant_account_spike,1
t4_dev_000726,t4_act_000211,subscription_dunning_hard,2
t4_dev_003802,t4_act_002460,subscription_dunning_hard,1
t4_dev_000623,t4_act_000108,subscription_dunning_hard,0
t4_dev_008490,t4_act_006236,subscription_dunning_hard,4
t4_dev_000789,t4_act_000274,subscription_dunning_hard,1
t4_dev_001889,t4_act_001078,subscription_dunning_hard,0
t4_dev_004599,t4_act_003081,subscription_dunning_hard,4
t4_dev_000661,t4_act_000146,subscription_dunning_hard,2
t4_dev_004112,t4_act_002719,subscription_dunning_hard,0
t4_dev_003150,t4_act_001953,subscription_dunning_hard,0
t4_dev_004715,t4_act_003168,subscription_dunning_hard,0
t4_dev_006621,t4_act_004708,subscription_dunning_hard,2
t4_dev_000660,t4_act_000145,subscription_dunning_hard,0
t4_dev_007023,t4_act_005042,subscription_dunning_hard,1
t4_dev_002429,t4_act_001479,dormant_account_spike,4
t4_dev_000679,t4_act_000164,subscription_dunning_hard,4
t4_dev_002160,t4_act_001272,subscription_dunning_hard,3
t4_dev_007967,t4_act_005803,subscription_dunning_hard,0
t4_dev_004963,t4_act_003340,subscription_dunning_hard,0
t4_dev_001985,t4_act_001157,dormant_account_spike,3
t4_dev_005994,t4_act_004189,subscription_dunning_hard,2
t4_dev_007978,t4_act_005814,subscription_dunning_hard,1
t4_dev_005451,t4_act_003740,subscription_dunning_hard,1
t4_dev_008895,t4_act_006599,dormant_account_spike,0
t4_dev_000712,t4_act_000197,subscription_dunning_hard,3
t4_dev_008290,t4_act_006062,subscription_dunning_hard,1
t4_dev_000795,t4_act_000280,subscription_dunning_hard,4
t4_dev_005415,t4_act_003704,subscription_dunning_hard,0
t4_dev_006499,t4_act_004595,subscription_dunning_hard,4
t4_dev_007353,t4_act_005300,subscription_dunning_hard,1
t4_dev_006819,t4_act_004870,subscription_dunning_hard,1
t4_dev_006693,t4_act_004775,subscription_dunning_hard,2
t4_dev_000711,t4_act_000196,subscription_dunning_hard,1
t4_dev_007934,t4_act_005775,subscription_dunning_hard,2
t4_dev_007074,t4_act_005082,dormant_account_spike,4
t4_dev_005892,t4_act_004099,subscription_dunning_hard,1
t4_dev_008619,t4_act_006348,subscription_dunning_hard,4
t4_dev_008692,t4_act_006412,subscription_dunning_hard,1
t4_dev_001591,t4_act_000886,subscription_dunning_hard,1
t4_dev_001708,t4_act_000958,dormant_account_spike,4
t4_dev_007790,t4_act_005654,subscription_dunning_hard,0
t4_dev_005458,t4_act_003747,subscription_dunning_hard,2
t4_dev_008087,t4_act_005896,subscription_dunning_hard,2
t4_dev_006041,t4_act_004231,subscription_dunning_hard,4
t4_dev_000708,t4_act_000193,subscription_dunning_hard,3
t4_dev_000702,t4_act_000187,subscription_dunning_hard,1
t4_dev_004579,t4_act_003064,subscription_dunning_hard,2
t4_dev_008092,t4_act_005901,subscription_dunning_hard,4
t4_dev_008219,t4_act_006015,dormant_account_spike,3
t4_dev_004976,t4_act_003351,dormant_account_spike,1
t4_dev_003205,t4_act_001997,dormant_account_spike,4
t4_dev_007947,t4_act_005786,subscription_dunning_hard,3
t4_dev_006146,t4_act_004309,subscription_dunning_hard,4
t4_dev_000790,t4_act_000275,subscription_dunning_hard,4
t4_dev_000670,t4_act_000155,subscription_dunning_hard,2
t4_dev_003822,t4_act_002479,dormant_account_spike,3
t4_dev_008969,t4_act_006671,subscription_dunning_hard,3
t4_dev_003779,t4_act_002440,subscription_dunning_hard,2
t4_dev_006595,t4_act_004684,dormant_account_spike,2
t4_dev_005481,t4_act_003769,subscription_dunning_hard,1
t4_dev_002693,t4_act_001680,subscription_dunning_hard,1
t4_dev_003174,t4_act_001973,subscription_dunning_hard,1
t4_dev_004571,t4_act_003057,dormant_account_spike,3
t4_dev_000609,t4_act_000094,subscription_dunning_hard,4
t4_dev_005416,t4_act_003705,subscription_dunning_hard,2
t4_dev_008300,t4_act_006071,subscription_dunning_hard,3
t4_dev_000761,t4_act_000246,subscription_dunning_hard,1
t4_dev_008937,t4_act_006640,subscription_dunning_hard,4
t4_dev_008758,t4_act_006474,subscription_dunning_hard,4
t4_dev_004433,t4_act_002951,subscription_dunning_hard,3
t4_dev_008086,t4_act_005895,dormant_account_spike,0
t4_dev_005997,t4_act_004192,subscription_dunning_hard,3
t4_dev_001955,t4_act_001128,subscription_dunning_hard,3
t4_dev_005553,t4_act_003817,dormant_account_spike,3
t4_dev_004783,t4_act_003213,subscription_dunning_hard,0
t4_dev_005431,t4_act_003720,dormant_account_spike,1
t4_dev_000763,t4_act_000248,subscription_dunning_hard,2
t4_dev_002768,t4_act_001742,subscription_dunning_hard,1
t4_dev_008472,t4_act_006219,subscription_dunning_hard,1
t4_dev_001617,t4_act_000902,subscription_dunning_hard,2
t4_dev_008751,t4_act_006468,subscription_dunning_hard,0
t4_dev_002253,t4_act_001339,subscription_dunning_hard,4
t4_dev_006454,t4_act_004553,subscription_dunning_hard,1
t4_dev_006366,t4_act_004473,subscription_dunning_hard,3
t4_dev_006441,t4_act_004542,dormant_account_spike,2
t4_dev_001750,t4_act_000994,subscription_dunning_hard,0
t4_dev_003231,t4_act_002018,subscription_dunning_hard,4
t4_dev_002828,t4_act_001782,dormant_account_spike,1
t4_dev_006932,t4_act_004968,subscription_dunning_hard,2
t4_dev_003897,t4_act_002540,subscription_dunning_hard,1
t4_dev_000739,t4_act_000224,subscription_dunning_hard,4
t4_dev_000703,t4_act_000188,subscription_dunning_hard,1
t4_dev_006676,t4_act_004760,subscription_dunning_hard,0
t4_dev_006460,t4_act_004559,dormant_account_spike,1
t4_dev_006894,t4_act_004932,subscription_dunning_hard,4
t4_dev_002298,t4_act_001376,subscription_dunning_hard,4
t4_dev_007486,t4_act_005400,subscription_dunning_hard,4
t4_dev_000762,t4_act_000247,subscription_dunning_hard,3
t4_dev_006342,t4_act_004450,subscription_dunning_hard,2
t4_dev_007785,t4_act_005650,subscription_dunning_hard,0
t4_dev_000680,t4_act_000165,subscription_dunning_hard,3
t4_dev_002522,t4_act_001555,subscription_dunning_hard,4
t4_dev_004310,t4_act_002870,subscription_dunning_hard,1
t4_dev_001803,t4_act_001031,dormant_account_spike,3
t4_dev_001739,t4_act_000983,subscription_dunning_hard,3
t4_dev_000690,t4_act_000175,subscription_dunning_hard,2
t4_dev_006949,t4_act_004983,subscription_dunning_hard,2
t4_dev_004798,t4_act_003225,subscription_dunning_hard,3
t4_dev_001772,t4_act_001010,subscription_dunning_hard,2
t4_dev_008043,t4_act_005855,subscription_dunning_hard,3
t4_dev_002482,t4_act_001525,subscription_dunning_hard,1
t4_dev_003137,t4_act_001941,subscription_dunning_hard,2
t4_dev_003701,t4_act_002372,subscription_dunning_hard,0
t4_dev_008113,t4_act_005922,subscription_dunning_hard,3
t4_dev_003657,t4_act_002343,subscription_dunning_hard,0
t4_dev_000644,t4_act_000129,subscription_dunning_hard,4
t4_dev_007462,t4_act_005395,subscription_dunning_hard,3
t4_dev_008152,t4_act_005956,subscription_dunning_hard,4
t4_dev_000745,t4_act_000230,subscription_dunning_hard,1
t4_dev_007249,t4_act_005221,dormant_account_spike,3
t4_dev_007435,t4_act_005370,subscription_dunning_hard,3
t4_dev_007169,t4_act_005166,subscription_dunning_hard,1
t4_dev_000696,t4_act_000181,subscription_dunning_hard,1
t4_dev_002376,t4_act_001433,subscription_dunning_hard,2
t4_dev_000793,t4_act_000278,subscription_dunning_hard,3
t4_dev_004811,t4_act_003233,subscription_dunning_hard,0
t4_dev_000718,t4_act_000203,subscription_dunning_hard,1
t4_dev_000642,t4_act_000127,subscription_dunning_hard,4
t4_dev_006759,t4_act_004832,subscription_dunning_hard,4
t4_dev_003972,t4_act_002602,subscription_dunning_hard,3
t4_dev_000784,t4_act_000269,subscription_dunning_hard,3
t4_dev_003941,t4_act_002579,subscription_dunning_hard,3
t4_dev_002626,t4_act_001623,subscription_dunning_hard,0
t4_dev_000688,t4_act_000173,subscription_dunning_hard,1
t4_dev_006947,t4_act_004981,subscription_dunning_hard,3
t4_dev_002193,t4_act_001294,dormant_account_spike,3
t4_dev_000727,t4_act_000212,subscription_dunning_hard,0
t4_dev_004563,t4_act_003049,subscription_dunning_hard,1
t4_dev_005337,t4_act_003636,subscription_dunning_hard,4
t4_dev_007722,t4_act_005592,dormant_account_spike,4
t4_dev_007973,t4_act_005809,subscription_dunning_hard,0
t4_dev_005679,t4_act_003928,subscription_dunning_hard,0
t4_dev_007420,t4_act_005357,subscription_dunning_hard,4
t4_dev_000606,t4_act_000091,subscription_dunning_hard,3
t4_dev_002468,t4_act_001512,subscription_dunning_hard,4
t4_dev_006415,t4_act_004518,subscription_dunning_hard,3
t4_dev_007105,t4_act_005108,subscription_dunning_hard,3
t4_dev_008416,t4_act_006167,dormant_account_spike,4
t4_dev_008044,t4_act_005856,subscription_dunning_hard,3
t4_dev_007755,t4_act_005623,subscription_dunning_hard,1
t4_dev_008367,t4_act_006127,subscription_dunning_hard,2
t4_dev_004753,t4_act_003199,subscription_dunning_hard,1
t4_dev_000705,t4_act_000190,subscription_dunning_hard,0
t4_dev_003828,t4_act_002483,subscription_dunning_hard,1
t4_dev_003791,t4_act_002452,subscription_dunning_hard,1
t4_dev_006045,t4_act_004234,subscription_dunning_hard,4
t4_dev_005404,t4_act_003694,subscription_dunning_hard,1
t4_dev_006487,t4_act_004584,subscription_dunning_hard,2
t4_dev_007111,t4_act_005114,dormant_account_spike,0
t4_dev_002613,t4_act_001617,dormant_account_spike,4
t4_dev_000729,t4_act_000214,subscription_dunning_hard,3
t4_dev_006438,t4_act_004539,subscription_dunning_hard,0
t4_dev_003697,t4_act_002368,subscription_dunning_hard,0
t4_dev_000755,t4_act_000240,subscription_dunning_hard,1
t4_dev_003252,t4_act_002036,subscription_dunning_hard,2
t4_dev_005384,t4_act_003674,subscription_dunning_hard,2
t4_dev_000725,t4_act_000210,subscription_dunning_hard,1
t4_dev_006511,t4_act_004606,subscription_dunning_hard,3
t4_dev_002458,t4_act_001504,dormant_account_spike,2
t4_dev_006740,t4_act_004818,dormant_account_spike,3
t4_dev_008283,t4_act_006057,dormant_account_spike,3
t4_dev_004531,t4_act_003029,dormant_account_spike,4
t4_dev_000615,t4_act_000100,subscription_dunning_hard,3
t4_dev_007447,t4_act_005382,subscription_dunning_hard,1
t4_dev_006838,t4_act_004885,subscription_dunning_hard,4
t4_dev_000603,t4_act_000088,subscription_dunning_hard,2
t4_dev_005856,t4_act_004084,subscription_dunning_hard,0
t4_dev_001794,t4_act_001022,subscription_dunning_hard,4
t4_dev_008180,t4_act_005981,subscription_dunning_hard,3
t4_dev_000693,t4_act_000178,subscription_dunning_hard,2
t4_dev_005624,t4_act_003880,subscription_dunning_hard,0
t4_dev_005992,t4_act_004187,subscription_dunning_hard,3
t4_dev_006974,t4_act_005002,dormant_account_spike,0
t4_dev_001897,t4_act_001085,subscription_dunning_hard,2
t4_dev_004249,t4_act_002822,subscription_dunning_hard,4
t4_dev_002246,t4_act_001334,subscription_dunning_hard,2
t4_dev_003935,t4_act_002574,subscription_dunning_hard,1
t4_dev_000770,t4_act_000255,subscription_dunning_hard,3
t4_dev_006051,t4_act_004240,subscription_dunning_hard,2
t4_dev_000659,t4_act_000144,subscription_dunning_hard,3
t4_dev_004987,t4_act_003357,subscription_dunning_hard,1
t4_dev_000699,t4_act_000184,subscription_dunning_hard,4
t4_dev_007258,t4_act_005228,subscription_dunning_hard,4
t4_dev_002241,t4_act_001329,subscription_dunning_hard,1
t4_dev_002499,t4_act_001539,subscription_dunning_hard,3
t4_dev_005181,t4_act_003500,subscription_dunning_hard,0
t4_dev_000668,t4_act_000153,subscription_dunning_hard,2
t4_dev_006492,t4_act_004589,subscription_dunning_hard,2
t4_dev_001592,t4_act_000887,dormant_account_spike,2
t4_dev_007152,t4_act_005149,subscription_dunning_hard,1
t4_dev_005149,t4_act_003487,subscription_dunning_hard,1
t4_dev_000781,t4_act_000266,subscription_dunning_hard,3
t4_dev_007092,t4_act_005095,subscription_dunning_hard,2
t4_dev_006893,t4_act_004931,dormant_account_spike,4
t4_dev_006436,t4_act_004537,subscription_dunning_hard,4
t4_dev_008296,t4_act_006068,subscription_dunning_hard,4
t4_dev_007538,t4_act_005448,subscription_dunning_hard,2
t4_dev_008285,t4_act_006058,dormant_account_spike,4
t4_dev_003315,t4_act_002086,subscription_dunning_hard,3
t4_dev_007704,t4_act_005574,subscription_dunning_hard,0
t4_dev_005341,t4_act_003640,subscription_dunning_hard,0
t4_dev_003674,t4_act_002356,dormant_account_spike,3
t4_dev_003310,t4_act_002082,subscription_dunning_hard,4
t4_dev_002985,t4_act_001871,subscription_dunning_hard,0
t4_dev_002902,t4_act_001820,subscription_dunning_hard,0
t4_dev_004107,t4_act_002714,subscription_dunning_hard,2
t4_dev_000723,t4_act_000208,subscription_dunning_hard,1
t4_dev_005939,t4_act_004141,subscription_dunning_hard,4
t4_dev_004540,t4_act_003037,dormant_account_spike,4
t4_dev_000681,t4_act_000166,subscription_dunning_hard,0
t4_dev_000728,t4_act_000213,subscription_dunning_hard,0
t4_dev_008499,t4_act_006244,subscription_dunning_hard,1
t4_dev_002296,t4_act_001374,subscription_dunning_hard,2
t4_dev_005710,t4_act_003956,subscription_dunning_hard,3
t4_dev_003910,t4_act_002551,dormant_account_spike,2
t4_dev_000672,t4_act_000157,subscription_dunning_hard,0
t4_dev_008859,t4_act_006566,subscription_dunning_hard,0
t4_dev_005545,t4_act_003810,dormant_account_spike,0
t4_dev_007350,t4_act_005297,subscription_dunning_hard,3
t4_dev_005783,t4_act_004018,subscription_dunning_hard,4
t4_dev_008145,t4_act_005949,subscription_dunning_hard,4
t4_dev_003163,t4_act_001964,dormant_account_spike,1
t4_dev_006367,t4_act_004474,subscription_dunning_hard,0
t4_dev_007426,t4_act_005362,subscription_dunning_hard,1
t4_dev_005853,t4_act_004081,subscription_dunning_hard,3
t4_dev_005836,t4_act_004067,subscription_dunning_hard,4
t4_dev_000616,t4_act_000101,subscription_dunning_hard,1
t4_dev_004030,t4_act_002646,dormant_account_spike,3
t4_dev_003304,t4_act_002076,subscription_dunning_hard,1
t4_dev_005263,t4_act_003574,dormant_account_spike,1
t4_dev_005858,t4_act_004086,dormant_account_spike,2
t4_dev_000765,t4_act_000250,subscription_dunning_hard,4
t4_dev_006979,t4_act_005007,subscription_dunning_hard,1
t4_dev_003751,t4_act_002413,dormant_account_spike,1
t4_dev_003812,t4_act_002469,subscription_dunning_hard,0
t4_dev_007421,t4_act_005358,dormant_account_spike,2
t4_dev_002843,t4_act_001792,subscription_dunning_hard,4
t4_dev_006238,t4_act_004371,subscription_dunning_hard,1
t4_dev_006096,t4_act_004264,subscription_dunning_hard,1
t4_dev_008607,t4_act_006336,subscription_dunning_hard,3
t4_dev_008918,t4_act_006622,subscription_dunning_hard,3
t4_dev_003863,t4_act_002509,subscription_dunning_hard,1
t4_dev_003483,t4_act_002223,subscription_dunning_hard,1
t4_dev_009035,t4_act_006729,subscription_dunning_hard,2
t4_dev_004659,t4_act_003130,subscription_dunning_hard,2
t4_dev_008557,t4_act_006289,subscription_dunning_hard,3
t4_dev_000648,t4_act_000133,subscription_dunning_hard,1
t4_dev_007837,t4_act_005696,subscription_dunning_hard,1
t4_dev_000635,t4_act_000120,subscription_dunning_hard,0
t4_dev_003813,t4_act_002470,subscription_dunning_hard,3
t4_dev_003144,t4_act_001947,dormant_account_spike,1
t4_dev_000647,t4_act_000132,subscription_dunning_hard,2
t4_dev_005220,t4_act_003535,subscription_dunning_hard,4
t4_dev_004126,t4_act_002729,subscription_dunning_hard,3
t4_dev_005090,t4_act_003438,subscription_dunning_hard,0
t4_dev_007716,t4_act_005586,subscription_dunning_hard,1
t4_dev_006533,t4_act_004627,dormant_account_spike,4
t4_dev_008878,t4_act_006582,subscription_dunning_hard,3
t4_dev_000626,t4_act_000111,subscription_dunning_hard,4
t4_dev_006217,t4_act_004352,subscription_dunning_hard,0
t4_dev_006662,t4_act_004746,subscription_dunning_hard,1
t4_dev_002696,t4_act_001683,subscription_dunning_hard,4
t4_dev_002989,t4_act_001875,subscription_dunning_hard,1
t4_dev_000627,t4_act_000112,subscription_dunning_hard,0
t4_dev_005931,t4_act_004133,subscription_dunning_hard,2
t4_dev_007742,t4_act_005612,subscription_dunning_hard,0
t4_dev_008633,t4_act_006362,dormant_account_spike,0
t4_dev_008187,t4_act_005988,subscription_dunning_hard,3
t4_dev_005713,t4_act_003959,subscription_dunning_hard,2
t4_dev_007966,t4_act_005802,dormant_account_spike,2
t4_dev_000751,t4_act_000236,subscription_dunning_hard,3
t4_dev_005980,t4_act_004178,dormant_account_spike,3
t4_dev_008560,t4_act_006292,dormant_account_spike,1
t4_dev_006746,t4_act_004824,subscription_dunning_hard,2
t4_dev_005053,t4_act_003410,subscription_dunning_hard,4
t4_dev_005732,t4_act_003976,subscription_dunning_hard,0
t4_dev_002698,t4_act_001685,subscription_dunning_hard,2
t4_dev_006608,t4_act_004697,subscription_dunning_hard,0
t4_dev_008103,t4_act_005912,subscription_dunning_hard,0
t4_dev_006764,t4_act_004836,subscription_dunning_hard,4
t4_dev_000605,t4_act_000090,subscription_dunning_hard,3
t4_dev_000671,t4_act_000156,subscription_dunning_hard,2
t4_dev_005896,t4_act_004103,subscription_dunning_hard,2
t4_dev_001952,t4_act_001126,subscription_dunning_hard,4
t4_dev_005050,t4_act_003408,subscription_dunning_hard,4
t4_dev_003982,t4_act_002612,subscription_dunning_hard,2
t4_dev_000695,t4_act_000180,subscription_dunning_hard,0
t4_dev_006664,t4_act_004748,subscription_dunning_hard,2
t4_dev_006897,t4_act_004935,dormant_account_spike,2
t4_dev_000613,t4_act_000098,subscription_dunning_hard,1
t4_dev_004602,t4_act_003084,subscription_dunning_hard,2
t4_dev_002923,t4_act_001836,subscription_dunning_hard,0
t4_dev_006836,t4_act_004883,subscription_dunning_hard,2
t4_dev_007747,t4_act_005616,subscription_dunning_hard,2
t4_dev_004346,t4_act_002899,subscription_dunning_hard,1
t4_dev_004127,t4_act_002730,subscription_dunning_hard,0
t4_dev_005137,t4_act_003475,subscription_dunning_hard,1
t4_dev_000608,t4_act_000093,subscription_dunning_hard,0
t4_dev_006277,t4_act_004406,subscription_dunning_hard,3
t4_dev_004040,t4_act_002654,subscription_dunning_hard,1
t4_dev_005124,t4_act_003463,subscription_dunning_hard,0
t4_dev_004148,t4_act_002749,subscription_dunning_hard,3
t4_dev_008823,t4_act_006534,subscription_dunning_hard,0
t4_dev_003807,t4_act_002464,subscription_dunning_hard,2
t4_dev_003811,t4_act_002468,subscription_dunning_hard,0
t4_dev_000600,t4_act_000085,subscription_dunning_hard,2
t4_dev_002390,t4_act_001445,subscription_dunning_hard,2
t4_dev_003698,t4_act_002369,subscription_dunning_hard,4
t4_dev_008956,t4_act_006658,subscription_dunning_hard,4
t4_dev_008236,t4_act_006031,subscription_dunning_hard,2
t4_dev_005684,t4_act_003933,subscription_dunning_hard,4
t4_dev_008104,t4_act_005913,subscription_dunning_hard,3
t4_dev_000632,t4_act_000117,subscription_dunning_hard,0
t4_dev_005708,t4_act_003954,subscription_dunning_hard,4
t4_dev_007357,t4_act_005304,dormant_account_spike,0
t4_dev_008553,t4_act_006286,subscription_dunning_hard,3
t4_dev_000783,t4_act_000268,subscription_dunning_hard,1
t4_dev_007280,t4_act_005248,subscription_dunning_hard,4
t4_dev_008198,t4_act_005998,subscription_dunning_hard,0
t4_dev_000656,t4_act_000141,subscription_dunning_hard,0
t4_dev_003139,t4_act_001943,subscription_dunning_hard,3
t4_dev_006376,t4_act_004482,subscription_dunning_hard,1
t4_dev_000750,t4_act_000235,subscription_dunning_hard,3
t4_dev_005418,t4_act_003707,subscription_dunning_hard,4
t4_dev_006945,t4_act_004979,subscription_dunning_hard,4
t4_dev_006820,t4_act_004871,subscription_dunning_hard,2
t4_dev_005864,t4_act_004092,subscription_dunning_hard,3
t4_dev_002349,t4_act_001410,subscription_dunning_hard,2
t4_dev_008348,t4_act_006110,subscription_dunning_hard,3
t4_dev_006585,t4_act_004676,subscription_dunning_hard,4
t4_dev_001651,t4_act_000929,subscription_dunning_hard,3
t4_dev_003704,t4_act_002375,subscription_dunning_hard,2
t4_dev_000641,t4_act_000126,subscription_dunning_hard,4
t4_dev_006265,t4_act_004395,subscription_dunning_hard,0
t4_dev_003011,t4_act_001893,subscription_dunning_hard,0
t4_dev_007604,t4_act_005506,subscription_dunning_hard,4
t4_dev_008817,t4_act_006529,dormant_account_spike,1
t4_dev_008166,t4_act_005968,subscription_dunning_hard,0
t4_dev_001898,t4_act_001086,subscription_dunning_hard,3
t4_dev_005915,t4_act_004117,subscription_dunning_hard,1
t4_dev_001654,t4_act_000932,subscription_dunning_hard,3
t4_dev_000692,t4_act_000177,subscription_dunning_hard,0
t4_dev_004115,t4_act_002722,subscription_dunning_hard,1
t4_dev_007151,t4_act_005148,subscription_dunning_hard,2
t4_dev_002068,t4_act_001215,subscription_dunning_hard,4
t4_dev_008714,t4_act_006432,dormant_account_spike,0
t4_dev_000710,t4_act_000195,subscription_dunning_hard,2
t4_dev_000704,t4_act_000189,subscription_dunning_hard,0
t4_dev_004617,t4_act_003096,dormant_account_spike,4
t4_dev_000655,t4_act_000140,subscription_dunning_hard,4
t4_dev_002163,t4_act_001274,dormant_account_spike,2
t4_dev_000700,t4_act_000185,subscription_dunning_hard,0
t4_dev_004629,t4_act_003105,dormant_account_spike,1
t4_dev_000683,t4_act_000168,subscription_dunning_hard,0
t4_dev_008364,t4_act_006125,subscription_dunning_hard,1
t4_dev_004059,t4_act_002671,subscription_dunning_hard,2
t4_dev_002301,t4_act_001379,dormant_account_spike,1
t4_dev_000634,t4_act_000119,subscription_dunning_hard,1
t4_dev_005702,t4_act_003949,dormant_account_spike,1
t4_dev_005642,t4_act_003894,subscription_dunning_hard,3
t4_dev_000774,t4_act_000259,subscription_dunning_hard,2
t4_dev_000629,t4_act_000114,subscription_dunning_hard,3
t4_dev_003655,t4_act_002341,subscription_dunning_hard,4
t4_dev_001988,t4_act_001159,subscription_dunning_hard,0
t4_dev_008225,t4_act_006020,subscription_dunning_hard,2
t4_dev_007913,t4_act_005757,subscription_dunning_hard,2
t4_dev_001711,t4_act_000961,subscription_dunning_hard,2
t4_dev_008030,t4_act_005843,subscription_dunning_hard,3
t4_dev_000709,t4_act_000194,subscription_dunning_hard,3
t4_dev_000760,t4_act_000245,subscription_dunning_hard,0
t4_dev_003104,t4_act_001927,subscription_dunning_hard,3
t4_dev_008685,t4_act_006406,subscription_dunning_hard,4
t4_dev_001733,t4_act_000977,subscription_dunning_hard,3
t4_dev_000621,t4_act_000106,subscription_dunning_hard,4
t4_dev_007970,t4_act_005806,subscription_dunning_hard,2
t4_dev_008719,t4_act_006437,subscription_dunning_hard,3
t4_dev_002032,t4_act_001194,subscription_dunning_hard,3
