event_id,request_id,timestamp,device_id,session_id,prior_attempts_5m,prior_attempts_1h,prior_attempts_24h,prior_attempts_7d,prospective_requests_10s,prospective_requests_60s,distinct_cards_5m,distinct_cards_1h,distinct_cards_24h,distinct_cards_7d,distinct_bins_5m,distinct_bins_24h,cross_session_cards_24h,cross_session_cards_7d,prior_decline_streak,prior_decline_ratio_5m,prior_decline_ratio_24h,attempts_before_first_approval,attempts_after_first_approval,seconds_since_previous_authorization,device_age_seconds,session_age_seconds,seconds_since_previous_session,sessions_24h,sessions_7d,ip_changes_24h,devices_per_ip_5m,requests_per_ip_5m,same_card_retry_ratio_24h,card_switches_after_decline_24h,current_amount,amount_delta_from_previous,amount_variation_24h,near_minimum_ratio_24h,prior_successful_checkouts,seconds_since_successful_checkout,campaign_active,prior_attempts_14d,distinct_cards_14d,amount_continuity_score_30d,amount_continuity_history_available,ip_rotation_ratio_24h,checkout_completion_lag_seconds,checkout_completion_lag_available,label,population,attack_subtype,scenario_tag
evt_0043478,req_0017851,2026-01-01T01:17:11+00:00,dev_0008938,dev_0008938_s1,3,3,3,3,4,4,2,2,2,2,2,2,1,1,2,0.666666666667,0.666666666667,0,2,1,7,7,0,1,1,0,1,4,0.333333333333,1,4.43,-7.82,0.693653772105,0,0,0,0,3,2,-10.1683773908,1,1,0,0,1,attack,burst,attack_burst
evt_0043480,req_0017852,2026-01-01T01:17:13+00:00,dev_0008938,dev_0008938_s1,4,4,4,4,5,5,2,2,2,2,2,2,1,1,3,0.75,0.75,0,3,2,9,9,0,1,1,1,1,1,0.5,1,1.18,-3.25,3.11269979278,0,0,0,1,4,2,-2.74359898754,1,2,0,0,1,attack,burst,attack_burst
evt_0043482,req_0017853,2026-01-01T01:17:17+00:00,dev_0008938,dev_0008938_s1,5,5,5,5,4,6,3,3,3,3,2,2,1,1,0,0.6,0.6,0,4,4,13,13,0,1,1,1,1,2,0,1,8.75,7.57,4.40683287634,0.2,0,0,0,5,3,0.167467208471,1,2,0,0,1,attack,burst,attack_burst
evt_0043484,req_0017854,2026-01-01T01:17:18+00:00,dev_0008938,dev_0008938_s1,6,6,6,6,5,7,4,4,4,4,2,2,1,1,0,0.5,0.5,0,5,1,14,14,0,1,1,1,1,3,0,1,8.91,0.16,4.03226053226,0.166666666667,0,0,0,6,4,0.192199882374,1,2,0,0,1,attack,burst,attack_burst
evt_0043486,req_0017855,2026-01-01T01:17:21+00:00,dev_0008938,dev_0008938_s1,7,7,7,7,5,8,4,4,4,4,2,2,1,1,1,0.571428571429,0.571428571429,0,6,3,17,17,0,1,1,1,1,4,0.142857142857,1,2.56,-6.35,3.74298527589,0.142857142857,0,0,0,7,4,-1.5190319669,1,2,0,0,1,attack,burst,attack_burst
evt_0043488,req_0017856,2026-01-01T01:17:23+00:00,dev_0008938,dev_0008938_s1,8,8,8,8,5,9,4,4,4,4,2,2,1,1,2,0.625,0.625,0,7,2,19,19,0,1,1,2,1,1,0.375,1,4.89,2.33,3.97422948507,0.125,0,0,0,8,4,-0.665537813037,1,3,0,0,1,attack,burst,attack_burst
evt_0037872,req_0015114,2026-01-01T01:37:04+00:00,dev_0008686,dev_0008686_s1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,2.73,0,0,0,0,0,0,0,1,0,0,1,0,0,1,attack,burst,attack_burst
evt_0037874,req_0015115,2026-01-01T01:37:07+00:00,dev_0008686,dev_0008686_s1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,3,3,3,0,1,1,0,1,2,1,0,32.46,29.73,0,0,0,0,0,1,1,0,0,1,0,0,1,attack,burst,attack_burst
evt_0037876,req_0015116,2026-01-01T01:37:11+00:00,dev_0008686,dev_0008686_s1,2,2,2,2,3,3,2,2,2,2,1,1,1,1,1,0.5,0.5,0,1,4,7,7,0,1,1,0,1,3,0,0,8.46,-24,14.865,0,0,0,0,2,2,-0.614530776993,1,1,0,0,1,attack,burst,attack_burst
evt_0037878,req_0015117,2026-01-01T01:37:14+00:00,dev_0008686,dev_0008686_s1,3,3,3,3,4,4,3,3,3,3,2,2,1,1,0,0.333333333333,0.333333333333,0,2,3,10,10,0,1,1,0,1,4,0,1,2.22,-6.24,12.8785169954,0,0,0,0,3,3,-0.957408372752,1,1,0,0,1,attack,burst,attack_burst
evt_0037880,req_0015118,2026-01-01T01:37:16+00:00,dev_0008686,dev_0008686_s1,4,4,4,4,4,5,3,3,3,3,2,2,1,1,1,0.5,0.5,0,3,2,12,12,0,1,1,0,1,5,0.25,1,13.3,11.08,12.3651756457,0,0,0,0,4,3,0.148198460944,1,1,0,0,1,attack,burst,attack_burst
evt_0037882,req_0015119,2026-01-01T01:37:19+00:00,dev_0008686,dev_0008686_s1,5,5,5,5,4,6,4,4,4,4,2,2,1,1,2,0.6,0.6,0,4,3,15,15,0,1,1,0,1,6,0,2,9.52,-3.78,11.0840129917,0,0,0,0,5,4,-0.208769152629,1,1,0,0,1,attack,burst,attack_burst
evt_0037884,req_0015120,2026-01-01T01:37:23+00:00,dev_0008686,dev_0008686_s1,6,6,6,6,4,7,4,4,4,4,2,2,1,1,3,0.666666666667,0.666666666667,0,5,4,19,19,0,1,1,1,1,1,0.166666666667,3,3.37,-6.15,10.1549567809,0,0,0,1,6,4,-0.7955064219,1,2,0,0,1,attack,burst,attack_burst
evt_0037886,req_0015121,2026-01-01T01:37:25+00:00,dev_0008686,dev_0008686_s1,6,6,6,6,4,8,5,5,5,5,2,2,1,1,3,0.666666666667,0.666666666667,0,5,6,21,21,0,1,1,1,1,2,0,3,7.15,-2.37,10.1549567809,0,0,0,0,6,5,-0.423274409342,1,2,0,0,1,attack,burst,attack_burst
evt_0009122,req_0003372,2026-01-01T01:42:03+00:00,dev_0002677,dev_0002677_s1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,4.84,0,0,0,0,0,0,0,1,0,0,1,0,0,0,normal,,normal_standard
evt_0025202,req_0009633,2026-01-01T01:49:28+00:00,dev_0006697,dev_0006697_s1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,9.89,0,0,0,0,0,1,0,1,0,0,1,0,0,0,flash_sale,,flash_standard
evt_0000734,req_0000272,2026-01-01T01:49:32+00:00,dev_0000217,dev_0000217_s1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,9.46,0,0,0,0,0,0,0,1,0,0,1,0,0,0,normal,,normal_standard
evt_0025204,req_0009634,2026-01-01T01:50:42+00:00,dev_0006697,dev_0006697_s1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,74,74,74,0,1,1,0,1,2,1,0,7.2,-2.69,0,0,0,0,1,1,1,0,0,1,0,0,0,flash_sale,,flash_standard
evt_0039736,req_0016021,2026-01-01T01:59:03+00:00,dev_0008765,dev_0008765_s1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,3.22,0,0,0,0,0,0,0,1,0,0,1,0,0,1,attack,burst,attack_burst
evt_0039738,req_0016022,2026-01-01T01:59:06+00:00,dev_0008765,dev_0008765_s1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,3,3,3,0,1,1,0,1,2,1,0,18.8,15.58,0,0,0,0,0,1,1,0,0,1,0,0,1,attack,burst,attack_burst
evt_0039740,req_0016023,2026-01-01T01:59:10+00:00,dev_0008765,dev_0008765_s1,2,2,2,2,3,3,1,1,1,1,1,1,1,1,0,0.5,0.5,1,0,4,7,7,0,1,1,0,1,3,1,0,8.88,-9.92,7.79,0,0,0,0,2,1,-0.273427471117,1,1,0,0,1,attack,burst,attack_burst
evt_0039742,req_0016024,2026-01-01T01:59:11+00:00,dev_0008765,dev_0008765_s1,3,3,3,3,4,4,1,1,1,1,1,1,1,1,0,0.333333333333,0.333333333333,1,1,1,8,8,0,1,1,0,1,4,1,0,20.16,11.28,6.43927532155,0,0,0,0,3,1,1.53122820623,1,1,0,0,1,attack,burst,attack_burst
evt_0039744,req_0016025,2026-01-01T01:59:12+00:00,dev_0008765,dev_0008765_s1,3,3,3,3,5,5,2,2,2,2,1,1,1,1,0,0.333333333333,0.333333333333,1,1,2,9,9,0,1,1,0,1,5,0,0,25.41,16.53,6.43927532155,0,0,0,0,3,2,2.3465373424,1,1,0,0,1,attack,burst,attack_burst
evt_0039746,req_0016026,2026-01-01T01:59:15+00:00,dev_0008765,dev_0008765_s1,5,5,5,5,5,6,2,2,2,2,1,1,1,1,0,0.2,0.2,1,3,3,12,12,0,1,1,1,1,1,0.8,0,7.13,-18.28,8.06503961553,0,0,0,0,5,2,-1.01227029118,1,2,0,0,1,attack,burst,attack_burst
evt_0039748,req_0016027,2026-01-01T01:59:18+00:00,dev_0008765,dev_0008765_s1,6,6,6,6,5,7,2,2,2,2,1,1,1,1,1,0.333333333333,0.333333333333,1,4,3,15,15,0,1,1,1,1,2,0.166666666667,0,10.3,3.17,7.96624894302,0,0,0,0,6,2,-0.456090860243,1,2,0,0,1,attack,burst,attack_burst
evt_0039750,req_0016028,2026-01-01T01:59:22+00:00,dev_0008765,dev_0008765_s1,7,7,7,7,4,8,2,2,2,2,1,1,1,1,2,0.428571428571,0.428571428571,1,5,4,19,19,0,1,1,1,1,3,0.714285714286,1,2.26,-8.04,7.48409715357,0,0,0,0,7,2,-1.49039830529,1,2,0,0,1,attack,burst,attack_burst
evt_0039752,req_0016029,2026-01-01T01:59:24+00:00,dev_0008765,dev_0008765_s1,8,8,8,8,4,9,2,2,2,2,1,1,1,1,3,0.5,0.5,1,6,2,21,21,0,1,1,1,1,4,0.25,2,1.89,-0.37,7.91318361976,0,0,0,0,8,2,-1.2801421636,1,2,0,0,1,attack,burst,attack_burst
evt_0027853,req_0010612,2026-01-01T02:01:27+00:00,dev_0007467,dev_0007467_s1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,10.76,0,0,0,0,0,1,0,1,0,0,1,0,0,0,flash_sale,,flash_standard
evt_0007334,req_0002714,2026-01-01T02:13:46+00:00,dev_0002154,dev_0002154_s1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,7.15,0,0,0,0,0,0,0,1,0,0,1,0,0,0,normal,,normal_standard
evt_0011168,req_0004124,2026-01-01T02:16:41+00:00,dev_0003275,dev_0003275_s1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,15.54,0,0,0,0,0,0,0,1,0,0,1,0,0,0,normal,,normal_standard
evt_0028590,req_0010884,2026-01-01T02:23:30+00:00,dev_0007689,dev_0007689_s1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,5.02,0,0,0,0,0,1,0,1,0,0,1,0,0,0,flash_sale,,flash_standard
evt_0008496,req_0003139,2026-01-01T02:24:55+00:00,dev_0002495,dev_0002495_s1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,15.03,0,0,0,0,0,0,0,1,0,0,1,0,0,0,normal,,normal_standard
evt_0012876,req_0004749,2026-01-01T02:27:35+00:00,dev_0003779,dev_0003779_s1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,7.54,0,0,0,0,0,0,0,1,0,0,1,0,0,0,normal,,normal_standard
evt_0028134,req_0010715,2026-01-01T02:39:30+00:00,dev_0007551,dev_0007551_s1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,3.4,0,0,0,0,0,1,0,1,0,0,1,0,0,0,flash_sale,,flash_standard
evt_0012919,req_0004764,2026-01-01T02:40:21+00:00,dev_0003788,dev_0003788_s1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,11.89,0,0,0,0,0,0,0,1,0,0,1,0,0,0,normal,,normal_standard
evt_0008098,req_0002994,2026-01-01T02:48:46+00:00,dev_0002378,dev_0002378_s1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,14.2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,normal,,normal_standard
evt_0033013,req_0012780,2026-01-01T02:55:20+00:00,dev_0008410,dev_0008410_s1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,10.19,0,0,0,0,0,1,0,1,0,0,1,0,0,0,flash_sale,,flash_hard_retry
evt_0033015,req_0012781,2026-01-01T02:56:29+00:00,dev_0008410,dev_0008410_s1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,69,69,69,0,1,1,0,1,2,1,0,10.19,0,0,0,0,0,1,1,1,0,0,1,0,0,0,flash_sale,,flash_hard_retry
evt_0033017,req_0012782,2026-01-01T02:58:04+00:00,dev_0008410,dev_0008410_s1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,0,95,164,164,0,1,1,0,1,3,1,0,19.84,9.65,0,0,0,0,1,2,1,0,0,1,0,0,0,flash_sale,,flash_hard_retry
evt_0017566,req_0006476,2026-01-01T02:58:27+00:00,dev_0005151,dev_0005151_s1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,3.57,0,0,0,0,0,1,0,1,0,0,1,0,0,0,normal,,normal_standard
evt_0033019,req_0012783,2026-01-01T02:59:07+00:00,dev_0008410,dev_0008410_s1,3,3,3,3,1,1,1,1,1,1,1,1,1,1,3,1,1,3,0,63,227,227,0,1,1,0,1,4,1,0,9.9,-9.94,4.54905362563,0,0,0,1,3,1,-0.770856304465,1,1,0,0,0,flash_sale,,flash_hard_retry
evt_0026179,req_0009998,2026-01-01T03:04:26+00:00,dev_0006978,dev_0006978_s1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,20.63,0,0,0,0,0,1,0,1,0,0,1,0,0,0,flash_sale,,flash_standard
evt_0032990,req_0012770,2026-01-01T03:09:04+00:00,dev_0008407,dev_0008407_s1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,11.3,0,0,0,0,0,1,0,1,0,0,0.5,0,0,0,flash_sale,,flash_hard_retry
evt_0002164,req_0000808,2026-01-01T03:09:10+00:00,dev_0000633,dev_0000633_s1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,4.33,0,0,0,0,0,0,0,1,0,0,1,0,0,0,normal,,normal_standard
evt_0032992,req_0012771,2026-01-01T03:09:54+00:00,dev_0008407,dev_0008407_s1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,0,50,50,50,0,1,1,0,1,2,1,0,11.3,0,0,0,0,0,1,1,1,0,0,0.5,0,0,0,flash_sale,,flash_hard_retry
evt_0002166,req_0000809,2026-01-01T03:09:55+00:00,dev_0000633,dev_0000633_s1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,0,45,45,45,0,1,1,0,1,2,1,0,11.39,7.06,0,0,0,0,0,1,1,0,0,1,0,0,0,normal,,normal_standard
evt_0032994,req_0012772,2026-01-01T03:11:17+00:00,dev_0008407,dev_0008407_s1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,0,83,133,133,0,1,1,0,1,3,1,0,8.94,-2.36,0,0,0,0,1,2,1,0,0,0.5,0,0,0,flash_sale,,flash_hard_retry
evt_0007394,req_0002735,2026-01-01T03:13:36+00:00,dev_0002169,dev_0002169_s1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,15.08,0,0,0,0,0,0,0,1,0,0,1,0,0,0,normal,,normal_standard
evt_0031293,req_0012009,2026-01-01T03:22:43+00:00,dev_0008196,dev_0008196_s1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,24.49,0,0,0,0,0,1,0,1,0,0,1,0,0,0,flash_sale,,flash_hard_retry
evt_0031295,req_0012010,2026-01-01T03:24:12+00:00,dev_0008196,dev_0008196_s1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,89,89,89,0,1,1,0,1,2,1,0,24.49,0,0,0,0,0,1,1,1,0,0,1,0,0,0,flash_sale,,flash_hard_retry
evt_0031297,req_0012011,2026-01-01T03:25:21+00:00,dev_0008196,dev_0008196_s1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,0,69,158,158,0,1,1,0,1,3,1,0,13.84,-10.65,0,0,0,0,1,2,1,0,0,1,0,0,0,flash_sale,,flash_hard_retry
evt_0050547,req_0021290,2026-01-01T03:27:49+00:00,dev_0009303,dev_0009303_s1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,10.51,0,0,0,0,0,0,0,1,0,0,1,0,0,1,attack,evasive,attack_evasive
evt_0021927,req_0008218,2026-01-01T03:29:48+00:00,dev_0006186,dev_0006186_s1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,12.7,0,0,0,0,0,0,0,1,0,0,0.5,0,0,0,normal,,normal_bad_luck
evt_0021929,req_0008219,2026-01-01T03:30:12+00:00,dev_0006186,dev_0006186_s1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,0,24,24,24,0,1,1,0,1,2,0,0,26.78,14.08,0,0,0,0,0,1,2,0,0,0.5,0,0,0,normal,,normal_bad_luck
evt_0050549,req_0021291,2026-01-01T03:30:24+00:00,dev_0009303,dev_0009303_s1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,155,155,155,0,1,1,0,1,2,1,0,3.64,-6.87,0,0,0,0,0,1,1,0,0,1,0,0,1,attack,evasive,attack_evasive
evt_0021931,req_0008220,2026-01-01T03:31:42+00:00,dev_0006186,dev_0006186_s1,2,2,2,2,1,1,3,3,3,3,1,1,1,1,2,1,1,2,0,90,114,114,0,1,1,0,1,3,0,1,14.46,-12.32,7.04,0,0,0,0,2,3,-0.75,1,0.5,0,0,0,normal,,normal_bad_luck
evt_0050551,req_0021292,2026-01-01T03:31:46+00:00,dev_0009303,dev_0009303_s1,2,2,2,2,1,1,2,2,2,2,2,2,1,1,1,0.5,0.5,0,1,82,237,237,0,1,1,0,1,3,0,0,6.62,2.98,3.435,0,0,0,0,2,2,-0.132459970888,1,1,0,0,1,attack,evasive,attack_evasive
evt_0050553,req_0021293,2026-01-01T03:33:12+00:00,dev_0009303,dev_0009303_s1,2,3,3,3,1,1,2,2,2,2,2,2,1,1,2,1,0.666666666667,0,2,86,323,323,0,1,1,0,1,3,0.333333333333,1,9.26,2.64,2.81285540964,0,0,0,1,3,2,0.830709839779,1,1,0,0,1,attack,evasive,attack_evasive
evt_0050555,req_0021294,2026-01-01T03:34:53+00:00,dev_0009303,dev_0009303_s1,3,4,4,4,1,1,3,3,3,3,2,2,1,1,3,1,0.75,0,3,101,424,424,0,1,1,0,1,4,0,1,13.74,4.48,2.63777723661,0,0,0,0,4,3,2.36278481499,1,1,0,0,1,attack,evasive,attack_evasive
evt_0010530,req_0003889,2026-01-01T03:36:13+00:00,dev_0003084,dev_0003084_s1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,10.64,0,0,0,0,0,0,0,1,0,0,1,0,0,0,normal,,normal_standard
