prior_attempts_5m,prior_attempts_1h,prior_attempts_24h,prior_attempts_7d,prospective_requests_10s,prospective_requests_60s,distinct_cards_5m,distinct_cards_1h,distinct_cards_24h,distinct_cards_7d,distinct_bins_5m,distinct_bins_24h,cross_session_cards_24h,cross_session_cards_7d,prior_decline_streak,prior_decline_ratio_5m,prior_decline_ratio_24h,attempts_before_first_approval,attempts_after_first_approval,seconds_since_previous_authorization,device_age_seconds,session_age_seconds,seconds_since_previous_session,sessions_24h,sessions_7d,ip_changes_24h,devices_per_ip_5m,requests_per_ip_5m,same_card_retry_ratio_24h,card_switches_after_decline_24h,current_amount,amount_delta_from_previous,amount_variation_24h,near_minimum_ratio_24h,prior_successful_checkouts,seconds_since_successful_checkout,campaign_active,prior_attempts_14d,distinct_cards_14d,amount_continuity_score_30d,amount_continuity_history_available,ip_rotation_ratio_24h,checkout_completion_lag_seconds,checkout_completion_lag_available
8,8,8,8,5,9,4,4,4,4,2,2,1,1,2,0.625,0.625,0,7,2,19,19,0,1,1,2,1,1,0.375,1,4.89,2.33,3.97422948507,0.125,0,0,0,8,4,-0.665537813037,1,3,0,0
0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,2.73,0,0,0,0,0,0,0,1,0,0,1,0,0
1,1,1,1,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,3,3,3,0,1,1,0,1,2,1,0,32.46,29.73,0,0,0,0,0,1,1,0,0,1,0,0
2,2,2,2,3,3,2,2,2,2,1,1,1,1,1,0.5,0.5,0,1,4,7,7,0,1,1,0,1,3,0,0,8.46,-24,14.865,0,0,0,0,2,2,-0.614530776993,1,1,0,0
3,3,3,3,4,4,3,3,3,3,2,2,1,1,0,0.333333333333,0.333333333333,0,2,3,10,10,0,1,1,0,1,4,0,1,2.22,-6.24,12.8785169954,0,0,0,0,3,3,-0.957408372752,1,1,0,0
4,4,4,4,4,5,3,3,3,3,2,2,1,1,1,0.5,0.5,0,3,2,12,12,0,1,1,0,1,5,0.25,1,13.3,11.08,12.3651756457,0,0,0,0,4,3,0.148198460944,1,1,0,0
5,5,5,5,4,6,4,4,4,4,2,2,1,1,2,0.6,0.6,0,4,3,15,15,0,1,1,0,1,6,0,2,9.52,-3.78,11.0840129917,0,0,0,0,5,4,-0.208769152629,1,1,0,0
6,6,6,6,4,7,4,4,4,4,2,2,1,1,3,0.666666666667,0.666666666667,0,5,4,19,19,0,1,1,1,1,1,0.166666666667,3,3.37,-6.15,10.1549567809,0,0,0,1,6,4,-0.7955064219,1,2,0,0
6,6,6,6,4,8,5,5,5,5,2,2,1,1,3,0.666666666667,0.666666666667,0,5,6,21,21,0,1,1,1,1,2,0,3,7.15,-2.37,10.1549567809,0,0,0,0,6,5,-0.423274409342,1,2,0,0
0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,4.84,0,0,0,0,0,0,0,1,0,0,1,0,0
0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,9.89,0,0,0,0,0,1,0,1,0,0,1,0,0
0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,9.46,0,0,0,0,0,0,0,1,0,0,1,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,74,74,74,0,1,1,0,1,2,1,0,7.2,-2.69,0,0,0,0,1,1,1,0,0,1,0,0
0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,3.22,0,0,0,0,0,0,0,1,0,0,1,0,0
1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,3,3,3,0,1,1,0,1,2,1,0,18.8,15.58,0,0,0,0,0,1,1,0,0,1,0,0
2,2,2,2,3,3,1,1,1,1,1,1,1,1,0,0.5,0.5,1,0,4,7,7,0,1,1,0,1,3,1,0,8.88,-9.92,7.79,0,0,0,0,2,1,-0.273427471117,1,1,0,0
3,3,3,3,4,4,1,1,1,1,1,1,1,1,0,0.333333333333,0.333333333333,1,1,1,8,8,0,1,1,0,1,4,1,0,20.16,11.28,6.43927532155,0,0,0,0,3,1,1.53122820623,1,1,0,0
3,3,3,3,5,5,2,2,2,2,1,1,1,1,0,0.333333333333,0.333333333333,1,1,2,9,9,0,1,1,0,1,5,0,0,25.41,16.53,6.43927532155,0,0,0,0,3,2,2.3465373424,1,1,0,0
5,5,5,5,5,6,2,2,2,2,1,1,1,1,0,0.2,0.2,1,3,3,12,12,0,1,1,1,1,1,0.8,0,7.13,-18.28,8.06503961553,0,0,0,0,5,2,-1.01227029118,1,2,0,0
6,6,6,6,5,7,2,2,2,2,1,1,1,1,1,0.333333333333,0.333333333333,1,4,3,15,15,0,1,1,1,1,2,0.166666666667,0,10.3,3.17,7.96624894302,0,0,0,0,6,2,-0.456090860243,1,2,0,0
7,7,7,7,4,8,2,2,2,2,1,1,1,1,2,0.428571428571,0.428571428571,1,5,4,19,19,0,1,1,1,1,3,0.714285714286,1,2.26,-8.04,7.48409715357,0,0,0,0,7,2,-1.49039830529,1,2,0,0
8,8,8,8,4,9,2,2,2,2,1,1,1,1,3,0.5,0.5,1,6,2,21,21,0,1,1,1,1,4,0.25,2,1.89,-0.37,7.91318361976,0,0,0,0,8,2,-1.2801421636,1,2,0,0
0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,10.76,0,0,0,0,0,1,0,1,0,0,1,0,0
0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,7.15,0,0,0,0,0,0,0,1,0,0,1,0,0
0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,15.54,0,0,0,0,0,0,0,1,0,0,1,0,0
0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,5.02,0,0,0,0,0,1,0,1,0,0,1,0,0
0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,15.03,0,0,0,0,0,0,0,1,0,0,1,0,0
0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,7.54,0,0,0,0,0,0,0,1,0,0,1,0,0
0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,3.4,0,0,0,0,0,1,0,1,0,0,1,0,0
0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,11.89,0,0,0,0,0,0,0,1,0,0,1,0,0
0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,14.2,0,0,0,0,0,0,0,1,0,0,1,0,0
0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,10.19,0,0,0,0,0,1,0,1,0,0,1,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,69,69,69,0,1,1,0,1,2,1,0,10.19,0,0,0,0,0,1,1,1,0,0,1,0,0
2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,0,95,164,164,0,1,1,0,1,3,1,0,19.84,9.65,0,0,0,0,1,2,1,0,0,1,0,0
0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,3.57,0,0,0,0,0,1,0,1,0,0,1,0,0
3,3,3,3,1,1,1,1,1,1,1,1,1,1,3,1,1,3,0,63,227,227,0,1,1,0,1,4,1,0,9.9,-9.94,4.54905362563,0,0,0,1,3,1,-0.770856304465,1,1,0,0
0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,20.63,0,0,0,0,0,1,0,1,0,0,1,0,0
0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,11.3,0,0,0,0,0,1,0,1,0,0,0.5,0,0
0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,4.33,0,0,0,0,0,0,0,1,0,0,1,0,0
1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,0,50,50,50,0,1,1,0,1,2,1,0,11.3,0,0,0,0,0,1,1,1,0,0,0.5,0,0
1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,0,45,45,45,0,1,1,0,1,2,1,0,11.39,7.06,0,0,0,0,0,1,1,0,0,1,0,0
2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,0,83,133,133,0,1,1,0,1,3,1,0,8.94,-2.36,0,0,0,0,1,2,1,0,0,0.5,0,0
0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,15.08,0,0,0,0,0,0,0,1,0,0,1,0,0
0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,24.49,0,0,0,0,0,1,0,1,0,0,1,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,89,89,89,0,1,1,0,1,2,1,0,24.49,0,0,0,0,0,1,1,1,0,0,1,0,0
2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,0,69,158,158,0,1,1,0,1,3,1,0,13.84,-10.65,0,0,0,0,1,2,1,0,0,1,0,0
0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,10.51,0,0,0,0,0,0,0,1,0,0,1,0,0
0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,12.7,0,0,0,0,0,0,0,1,0,0,0.5,0,0
1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,0,24,24,24,0,1,1,0,1,2,0,0,26.78,14.08,0,0,0,0,0,1,2,0,0,0.5,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,155,155,155,0,1,1,0,1,2,1,0,3.64,-6.87,0,0,0,0,0,1,1,0,0,1,0,0
2,2,2,2,1,1,3,3,3,3,1,1,1,1,2,1,1,2,0,90,114,114,0,1,1,0,1,3,0,1,14.46,-12.32,7.04,0,0,0,0,2,3,-0.75,1,0.5,0,0
2,2,2,2,1,1,2,2,2,2,2,2,1,1,1,0.5,0.5,0,1,82,237,237,0,1,1,0,1,3,0,0,6.62,2.98,3.435,0,0,0,0,2,2,-0.132459970888,1,1,0,0
2,3,3,3,1,1,2,2,2,2,2,2,1,1,2,1,0.666666666667,0,2,86,323,323,0,1,1,0,1,3,0.333333333333,1,9.26,2.64,2.81285540964,0,0,0,1,3,2,0.830709839779,1,1,0,0
3,4,4,4,1,1,3,3,3,3,2,2,1,1,3,1,0.75,0,3,101,424,424,0,1,1,0,1,4,0,1,13.74,4.48,2.63777723661,0,0,0,0,4,3,2.36278481499,1,1,0,0
0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,10.64,0,0,0,0,0,0,0,1,0,0,1,0,0
2,5,5,5,1,1,3,4,4,4,2,3,1,1,0,0.5,0.6,0,4,126,550,550,0,1,1,1,1,1,0,2,2.19,-11.55,3.43239624752,0,0,0,0,5,4,-1.91236661698,1,2,0,0
0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,19.58,0,0,0,0,0,0,0,1,0,0,1,0,0
0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,2.72,0,0,0,0,0,0,0,1,0,0,1,0,0
0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,4.75,0,0,0,0,0,0,0,1,0,0,1,0,0
1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,0,22,22,22,0,1,1,0,1,2,1,0,24.81,20.06,0,0,0,0,0,1,1,0,0,1,0,0
0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,26.44,0,0,0,0,0,0,0,1,0,0,1,0,0
0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,16.15,0,0,0,0,0,0,0,1,0,0,1,0,0
0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,15.49,0,0,0,0,0,1,0,1,0,0,0.5,0,0
1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,0,49,49,49,0,1,1,0,1,2,1,0,15.49,0,0,0,0,0,1,1,1,0,0,0.5,0,0
2,2,2,2,1,2,1,1,1,1,1,1,1,1,2,1,1,2,0,47,96,96,0,1,1,0,1,3,1,0,15.49,0,0,0,0,0,1,2,1,0,0,0.5,0,0
0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,15.83,0,0,0,0,0,0,0,1,0,0,1,0,0
0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,3.71,0,0,0,0,0,1,0,1,0,0,1,0,0
0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,8.34,0,0,0,0,0,1,0,1,0,0,1,0,0
1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,0,8,8,8,0,1,1,0,1,2,0,0,8.34,0,0,0,0,0,1,1,2,0,0,1,0,0
2,2,2,2,3,3,3,3,3,3,2,2,1,1,2,1,1,2,0,2,10,10,0,1,1,0,1,3,0,1,8.34,0,0,0,0,0,1,2,3,0,0,1,0,0
3,3,3,3,2,4,3,3,3,3,2,2,1,1,3,1,1,3,0,9,19,19,0,1,1,0,1,4,0.333333333333,2,8.34,0,0,0,0,0,1,3,3,0,0,1,0,0
1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,0,98,98,98,0,1,1,0,1,2,0,0,3.71,0,0,0,0,0,1,1,2,0,0,1,0,0
2,2,2,2,1,1,3,3,3,3,2,2,1,1,2,1,1,2,0,97,195,195,0,1,1,0,1,3,0,1,3.71,0,0,0,0,0,1,2,3,0,0,1,0,0
0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,12.5,0,0,0,0,0,1,0,1,0,0,1,0,0
0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,11.17,0,0,0,0,0,0,0,1,0,0,1,0,0
0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1.74,0,0,0,0,0,0,0,1,0,0,1,0,0
0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,40.5,0,0,0,0,0,0,0,1,0,0,1,0,0
0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,4.14,0,0,0,0,0,0,0,1,0,0,1,0,0
0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,25.77,0,0,0,0,0,0,0,1,0,0,1,0,0
1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,0,4,4,4,0,1,1,0,1,2,0,0,9.75,-16.02,0,0,0,0,1,1,2,0,0,1,0,0
2,2,2,2,3,3,2,2,2,2,1,1,1,1,0,0.5,0.5,1,0,4,8,8,0,1,1,0,1,3,0.5,1,31.85,22.1,8.01,0,0,0,1,2,2,1.75905118602,1,1,0,0
2,2,2,2,4,4,3,3,3,3,2,2,1,1,0,0.5,0.5,1,0,5,9,9,0,1,1,0,1,4,0,1,9.65,-0.1,8.01,0,0,0,0,2,3,-1.01248439451,1,1,0,0
4,4,4,4,4,5,3,3,3,3,2,2,1,1,1,0.5,0.5,1,2,4,13,13,0,1,1,1,1,1,0.25,1,17.61,7.96,9.79387946628,0,0,0,1,4,3,-0.167962042586,1,2,0,0
4,4,4,4,5,6,3,3,3,3,2,2,1,1,1,0.5,0.5,1,2,5,14,14,0,1,1,1,1,2,0.25,1,1.73,-7.92,9.79387946628,0,0,0,0,4,3,-1.78938285491,1,2,0,0
6,6,6,6,5,7,3,3,3,3,2,2,1,1,3,0.666666666667,0.666666666667,1,4,2,16,16,0,1,1,1,1,3,0.5,1,4.18,2.45,10.2653446118,0.166666666667,0,0,0,6,3,-1.15729188344,1,2,0,0
7,7,7,7,6,8,3,3,3,3,2,2,1,1,4,0.714285714286,0.714285714286,1,5,1,17,17,0,1,1,1,1,4,0.571428571429,1,7.57,3.39,10.37329086,0.142857142857,0,0,0,7,3,-0.654841094746,1,2,0,0
8,8,8,8,5,9,4,4,4,4,2,2,1,1,5,0.75,0.75,1,6,4,21,21,0,1,1,2,1,1,0,1,1.7,-5.87,9.9599898814,0.125,0,0,0,8,4,-1.18612068292,1,3,0,0
9,9,9,9,5,10,4,4,4,4,2,2,1,1,6,0.777777777778,0.777777777778,1,7,3,24,24,0,1,1,2,1,2,0.111111111111,2,2.68,0.98,10.0976822912,0.222222222222,0,0,0,9,4,-0.942900641605,1,3,0,0
9,9,9,9,5,11,5,5,5,5,3,3,1,1,6,0.777777777778,0.777777777778,1,7,4,25,25,0,1,1,2,1,3,0,2,7.67,5.97,10.0976822912,0.222222222222,0,0,0,9,5,-0.448727834808,1,3,0,0
11,11,11,11,4,12,5,5,5,5,3,3,1,1,0,0.636363636364,0.636363636364,1,9,4,28,28,0,1,1,2,1,4,0.454545454545,3,3.44,0.76,9.58644807929,0.181818181818,0,0,0,11,5,-0.780647462099,1,3,0,0
0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,5.11,0,0,0,0,0,1,0,1,0,0,1,0,0
1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,0,59,59,59,0,1,1,0,1,2,1,0,5.11,0,0,0,0,0,1,1,1,0,0,1,0,0
2,2,2,2,1,1,2,2,2,2,1,1,1,1,2,1,1,2,0,87,146,146,0,1,1,0,1,3,0,0,5.11,0,0,0,0,0,1,2,2,0,0,1,0,0
3,3,3,3,1,2,2,2,2,2,1,1,1,1,3,1,1,3,0,23,169,169,0,1,1,0,1,4,0.333333333333,1,7.97,2.86,0,0,0,0,1,3,2,0,0,1,0,0
0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,633,633,633,0,1,1,0,1,1,1,0,5.37,3.63,0,1,0,0,0,1,1,0,0,1,0,0
0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,22.19,0,0,0,0,0,0,0,1,0,0,1,0,0
0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,25.27,0,0,0,0,0,0,0,1,0,0,1,0,0
1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,0,37,37,37,0,1,1,0,1,2,1,0,5.13,-20.14,0,0,0,0,0,1,1,0,0,1,0,0
2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,0,99,136,136,0,1,1,0,1,3,1,0,7.27,2.14,10.07,0,0,0,0,2,1,-0.787487586892,1,1,0,0
0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,10.48,0,0,0,0,0,1,0,1,0,0,1,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,86,86,86,0,1,1,0,1,2,1,0,6.43,-4.05,0,0,0,0,1,1,1,0,0,1,0,0
2,2,2,2,1,2,2,2,2,2,1,1,1,1,2,1,1,2,0,53,139,139,0,1,1,0,1,3,0,0,6.43,0,2.025,0,0,0,1,2,2,-1,1,1,0,0
